

# Contour value=5.00 
mST_GeV,deltaM_GeV
7.9932e+02,2.7188e+02
7.9961e+02,2.7297e+02
7.9989e+02,2.7405e+02
8.0018e+02,2.7513e+02
8.0046e+02,2.7621e+02
8.0075e+02,2.7729e+02
8.0103e+02,2.7838e+02
8.0131e+02,2.7946e+02
8.0160e+02,2.8054e+02
8.0188e+02,2.8162e+02
8.0217e+02,2.8271e+02
8.0245e+02,2.8379e+02
8.0274e+02,2.8487e+02
8.0302e+02,2.8595e+02
8.0321e+02,2.8666e+02
8.0330e+02,2.8703e+02
8.0357e+02,2.8812e+02
8.0383e+02,2.8920e+02
8.0410e+02,2.9028e+02
8.0437e+02,2.9136e+02
8.0464e+02,2.9244e+02
8.0490e+02,2.9353e+02
8.0517e+02,2.9461e+02
8.0544e+02,2.9569e+02
8.0567e+02,2.9677e+02
8.0589e+02,2.9786e+02
8.0609e+02,2.9894e+02
8.0627e+02,3.0002e+02
8.0654e+02,3.0110e+02
8.0678e+02,3.0218e+02
8.0701e+02,3.0327e+02
8.0725e+02,3.0435e+02
8.0739e+02,3.0543e+02
8.0754e+02,3.0651e+02
8.0768e+02,3.0760e+02
8.0782e+02,3.0868e+02
8.0797e+02,3.0976e+02
8.0811e+02,3.1084e+02
8.0825e+02,3.1192e+02
8.0840e+02,3.1301e+02
8.0854e+02,3.1409e+02
8.0862e+02,3.1468e+02
8.0868e+02,3.1517e+02
8.0882e+02,3.1625e+02
8.0897e+02,3.1733e+02
8.0911e+02,3.1842e+02
8.0925e+02,3.1950e+02
8.0940e+02,3.2058e+02
8.0954e+02,3.2166e+02
8.0968e+02,3.2275e+02
8.0983e+02,3.2383e+02
8.0997e+02,3.2491e+02
8.1011e+02,3.2599e+02
8.1026e+02,3.2707e+02
8.1040e+02,3.2816e+02
8.1054e+02,3.2924e+02
8.1068e+02,3.3032e+02
8.1083e+02,3.3140e+02
8.1097e+02,3.3248e+02
8.1111e+02,3.3357e+02
8.1126e+02,3.3465e+02
8.1140e+02,3.3573e+02
8.1154e+02,3.3681e+02
8.1169e+02,3.3790e+02
8.1183e+02,3.3898e+02
8.1197e+02,3.4006e+02
8.1211e+02,3.4114e+02
8.1226e+02,3.4222e+02
8.1240e+02,3.4331e+02
8.1254e+02,3.4439e+02
8.1269e+02,3.4547e+02
8.1283e+02,3.4655e+02
8.1297e+02,3.4764e+02
8.1312e+02,3.4872e+02
8.1326e+02,3.4980e+02
8.1335e+02,3.5088e+02
8.1344e+02,3.5196e+02
8.1353e+02,3.5305e+02
8.1361e+02,3.5413e+02
8.1370e+02,3.5521e+02
8.1379e+02,3.5629e+02
8.1389e+02,3.5737e+02
8.1402e+02,3.5846e+02
8.1403e+02,3.5856e+02
8.1415e+02,3.5954e+02
8.1427e+02,3.6062e+02
8.1440e+02,3.6170e+02
8.1453e+02,3.6279e+02
8.1466e+02,3.6387e+02
8.1479e+02,3.6495e+02
8.1492e+02,3.6603e+02
8.1505e+02,3.6711e+02
8.1518e+02,3.6820e+02
8.1531e+02,3.6928e+02
8.1544e+02,3.7036e+02
8.1557e+02,3.7144e+02
8.1570e+02,3.7253e+02
8.1583e+02,3.7361e+02
8.1596e+02,3.7469e+02
8.1609e+02,3.7577e+02
8.1622e+02,3.7685e+02
8.1635e+02,3.7794e+02
8.1648e+02,3.7902e+02
8.1661e+02,3.8010e+02
8.1674e+02,3.8118e+02
8.1687e+02,3.8226e+02
8.1700e+02,3.8335e+02
8.1713e+02,3.8443e+02
8.1726e+02,3.8551e+02
8.1739e+02,3.8659e+02
8.1752e+02,3.8768e+02
8.1765e+02,3.8876e+02
8.1778e+02,3.8984e+02
8.1791e+02,3.9092e+02
8.1804e+02,3.9200e+02
8.1817e+02,3.9309e+02
8.1830e+02,3.9417e+02
8.1843e+02,3.9525e+02
8.1856e+02,3.9633e+02
8.1869e+02,3.9741e+02
8.1882e+02,3.9850e+02
8.1895e+02,3.9958e+02
8.1913e+02,4.0066e+02
8.1934e+02,4.0174e+02
8.1944e+02,4.0223e+02
8.1956e+02,4.0283e+02
8.1977e+02,4.0391e+02
8.1998e+02,4.0499e+02
8.2019e+02,4.0607e+02
8.2040e+02,4.0715e+02
8.2062e+02,4.0824e+02
8.2083e+02,4.0932e+02
8.2104e+02,4.1040e+02
8.2125e+02,4.1148e+02
8.2147e+02,4.1257e+02
8.2168e+02,4.1365e+02
8.2189e+02,4.1473e+02
8.2210e+02,4.1581e+02
8.2231e+02,4.1689e+02
8.2253e+02,4.1798e+02
8.2274e+02,4.1906e+02
8.2295e+02,4.2014e+02
8.2316e+02,4.2122e+02
8.2338e+02,4.2230e+02
8.2359e+02,4.2339e+02
8.2380e+02,4.2447e+02
8.2401e+02,4.2555e+02
8.2423e+02,4.2663e+02
8.2444e+02,4.2772e+02
8.2465e+02,4.2880e+02
8.2485e+02,4.2982e+02
8.2486e+02,4.2988e+02
8.2507e+02,4.3096e+02
8.2529e+02,4.3204e+02
8.2550e+02,4.3313e+02
8.2571e+02,4.3421e+02
8.2592e+02,4.3529e+02
8.2614e+02,4.3637e+02
8.2636e+02,4.3745e+02
8.2660e+02,4.3854e+02
8.2683e+02,4.3962e+02
8.2707e+02,4.4070e+02
8.2730e+02,4.4178e+02
8.2754e+02,4.4287e+02
8.2777e+02,4.4395e+02
8.2801e+02,4.4503e+02
8.2824e+02,4.4611e+02
8.2848e+02,4.4719e+02
8.2871e+02,4.4828e+02
8.2895e+02,4.4936e+02
