

# Contour value=10.00 
mST_GeV,deltaM_GeV
7.6387e+02,4.0075e+02
7.6432e+02,4.0347e+02
7.6476e+02,4.0618e+02
7.6521e+02,4.0889e+02
7.6565e+02,4.1161e+02
7.6610e+02,4.1432e+02
7.6654e+02,4.1704e+02
7.6699e+02,4.1975e+02
7.6743e+02,4.2246e+02
7.6787e+02,4.2518e+02
7.6832e+02,4.2789e+02
7.6876e+02,4.3060e+02
7.6920e+02,4.3332e+02
7.6965e+02,4.3603e+02
7.7009e+02,4.3874e+02
7.7054e+02,4.4146e+02
7.7098e+02,4.4417e+02
7.7142e+02,4.4688e+02
7.7187e+02,4.4960e+02
7.7232e+02,4.5231e+02
7.7277e+02,4.5503e+02
7.7322e+02,4.5774e+02
7.7367e+02,4.6045e+02
7.7413e+02,4.6317e+02
7.7458e+02,4.6588e+02
7.7487e+02,4.6766e+02
7.7503e+02,4.6859e+02
7.7550e+02,4.7131e+02
7.7598e+02,4.7402e+02
7.7653e+02,4.7673e+02
7.7712e+02,4.7945e+02
7.7772e+02,4.8216e+02
7.7831e+02,4.8487e+02
7.7891e+02,4.8759e+02
7.7950e+02,4.9030e+02
7.8010e+02,4.9302e+02
7.8069e+02,4.9573e+02
7.8129e+02,4.9844e+02
7.8188e+02,5.0116e+02
7.8248e+02,5.0387e+02
7.8308e+02,5.0658e+02
7.8367e+02,5.0930e+02
7.8427e+02,5.1201e+02
7.8486e+02,5.1472e+02
7.8546e+02,5.1744e+02
7.8605e+02,5.2015e+02
7.8665e+02,5.2286e+02
7.8724e+02,5.2558e+02
7.8784e+02,5.2829e+02
7.8843e+02,5.3101e+02
7.8844e+02,5.3104e+02
7.8903e+02,5.3372e+02
7.8963e+02,5.3643e+02
7.9023e+02,5.3915e+02
7.9083e+02,5.4186e+02
7.9143e+02,5.4457e+02
7.9202e+02,5.4729e+02
7.9261e+02,5.5000e+02


# Contour value=15.00 
mST_GeV,deltaM_GeV
7.9875e+02,1.0000e+01
7.9955e+02,1.2714e+01
8.0035e+02,1.5427e+01
8.0115e+02,1.8141e+01
8.0195e+02,2.0854e+01
8.0201e+02,2.1070e+01
8.0280e+02,2.3568e+01
8.0354e+02,2.6281e+01
8.0421e+02,2.8995e+01
8.0490e+02,3.1709e+01
8.0558e+02,3.4422e+01
8.0627e+02,3.7136e+01
8.0695e+02,3.9849e+01
8.0764e+02,4.2563e+01
8.0833e+02,4.5276e+01
8.0901e+02,4.7990e+01
8.0968e+02,5.0704e+01
8.1032e+02,5.3417e+01
8.1095e+02,5.6131e+01
8.1157e+02,5.8844e+01
8.1220e+02,6.1558e+01
8.1282e+02,6.4271e+01
8.1345e+02,6.6985e+01
8.1408e+02,6.9698e+01
8.1470e+02,7.2412e+01
8.1533e+02,7.5126e+01
8.1558e+02,7.6224e+01
8.1595e+02,7.7839e+01
8.1657e+02,8.0553e+01
8.1720e+02,8.3266e+01
8.1782e+02,8.5980e+01
8.1844e+02,8.8693e+01
8.1906e+02,9.1407e+01
8.1972e+02,9.4121e+01
8.2048e+02,9.6834e+01
8.2136e+02,9.9548e+01
8.2212e+02,1.0226e+02
8.2287e+02,1.0497e+02
8.2361e+02,1.0769e+02
8.2436e+02,1.1040e+02
8.2510e+02,1.1312e+02
8.2585e+02,1.1583e+02
8.2659e+02,1.1854e+02
8.2733e+02,1.2126e+02
8.2808e+02,1.2397e+02
8.2882e+02,1.2668e+02
8.2915e+02,1.2786e+02
8.2957e+02,1.2940e+02
8.3030e+02,1.3211e+02
8.3102e+02,1.3482e+02
8.3166e+02,1.3754e+02
8.3228e+02,1.4025e+02
8.3289e+02,1.4296e+02
8.3351e+02,1.4568e+02
8.3413e+02,1.4839e+02
8.3477e+02,1.5111e+02
8.3545e+02,1.5382e+02
8.3612e+02,1.5653e+02
8.3680e+02,1.5925e+02
8.3747e+02,1.6196e+02
8.3815e+02,1.6467e+02
8.3884e+02,1.6739e+02
8.3953e+02,1.7010e+02
8.4024e+02,1.7281e+02
8.4096e+02,1.7553e+02
8.4169e+02,1.7824e+02
8.4241e+02,1.8095e+02
8.4271e+02,1.8208e+02
8.4314e+02,1.8367e+02
8.4387e+02,1.8638e+02
8.4459e+02,1.8910e+02
8.4532e+02,1.9181e+02
8.4604e+02,1.9452e+02
8.4677e+02,1.9724e+02
8.4750e+02,1.9995e+02
8.4826e+02,2.0266e+02
8.4902e+02,2.0538e+02
8.4979e+02,2.0809e+02
8.5055e+02,2.1080e+02
