

# Contour value=12.00 
mST_GeV,deltaM_GeV
1.4564e+03,3.4317e+02
1.4568e+03,3.4513e+02
1.4571e+03,3.4709e+02
1.4574e+03,3.4905e+02
1.4577e+03,3.5101e+02
1.4580e+03,3.5296e+02
1.4583e+03,3.5492e+02
1.4587e+03,3.5688e+02
1.4590e+03,3.5884e+02
1.4593e+03,3.6080e+02
1.4596e+03,3.6276e+02
1.4598e+03,3.6394e+02
1.4599e+03,3.6472e+02
1.4602e+03,3.6668e+02
1.4606e+03,3.6864e+02
1.4609e+03,3.7060e+02
1.4612e+03,3.7256e+02
1.4615e+03,3.7452e+02
1.4618e+03,3.7648e+02
1.4621e+03,3.7844e+02
1.4625e+03,3.8040e+02
1.4628e+03,3.8236e+02
1.4631e+03,3.8432e+02
1.4634e+03,3.8628e+02
1.4637e+03,3.8824e+02
1.4638e+03,3.8878e+02
1.4640e+03,3.9020e+02
1.4644e+03,3.9216e+02
1.4647e+03,3.9412e+02
1.4650e+03,3.9608e+02
1.4653e+03,3.9804e+02
1.4656e+03,4.0000e+02
