

# Contour value=2.00 
mST_GeV,deltaM_GeV
4.6765e+02,3.4583e+02
4.6715e+02,3.4681e+02
4.6666e+02,3.4780e+02
4.6616e+02,3.4878e+02
4.6567e+02,3.4976e+02
4.6517e+02,3.5074e+02
4.6468e+02,3.5172e+02
4.6418e+02,3.5271e+02
4.6368e+02,3.5369e+02
4.6319e+02,3.5467e+02
4.6269e+02,3.5565e+02
4.6232e+02,3.5638e+02
4.6220e+02,3.5663e+02
4.6170e+02,3.5762e+02
4.6121e+02,3.5860e+02
4.6071e+02,3.5958e+02
4.6022e+02,3.6056e+02
4.5972e+02,3.6154e+02
4.5923e+02,3.6253e+02
4.5873e+02,3.6351e+02
4.5824e+02,3.6449e+02
4.5774e+02,3.6547e+02
4.5725e+02,3.6645e+02
4.5691e+02,3.6711e+02
4.5675e+02,3.6743e+02
4.5625e+02,3.6842e+02
4.5576e+02,3.6940e+02
4.5526e+02,3.7038e+02
4.5477e+02,3.7136e+02
4.5427e+02,3.7234e+02
4.5378e+02,3.7333e+02
4.5328e+02,3.7431e+02
4.5279e+02,3.7529e+02
4.5229e+02,3.7627e+02
4.5180e+02,3.7725e+02
4.5150e+02,3.7784e+02
4.5130e+02,3.7824e+02
4.5081e+02,3.7922e+02
4.5031e+02,3.8020e+02
4.4982e+02,3.8118e+02
4.4932e+02,3.8216e+02
4.4883e+02,3.8315e+02
4.4833e+02,3.8413e+02
4.4783e+02,3.8511e+02
4.4734e+02,3.8609e+02
4.4684e+02,3.8707e+02
4.4635e+02,3.8806e+02
4.4609e+02,3.8856e+02
4.4585e+02,3.8904e+02
4.4536e+02,3.9002e+02
4.4486e+02,3.9100e+02
4.4437e+02,3.9198e+02
4.4387e+02,3.9297e+02
4.4338e+02,3.9395e+02
4.4288e+02,3.9493e+02
4.4239e+02,3.9591e+02
4.4189e+02,3.9689e+02
4.4164e+02,3.9788e+02
4.4144e+02,3.9886e+02
4.4125e+02,3.9984e+02
4.4105e+02,4.0082e+02
4.4086e+02,4.0180e+02
4.4068e+02,4.0270e+02
4.4067e+02,4.0279e+02
4.4047e+02,4.0377e+02
4.4028e+02,4.0475e+02
4.4008e+02,4.0573e+02
4.3989e+02,4.0671e+02
4.3969e+02,4.0770e+02
4.3950e+02,4.0868e+02
4.3931e+02,4.0966e+02
4.3911e+02,4.1064e+02
4.3892e+02,4.1162e+02
4.3872e+02,4.1261e+02
4.3853e+02,4.1359e+02
4.3833e+02,4.1457e+02
4.3814e+02,4.1555e+02
4.3795e+02,4.1653e+02
4.3775e+02,4.1752e+02
4.3756e+02,4.1850e+02
4.3736e+02,4.1948e+02
4.3717e+02,4.2046e+02
4.3697e+02,4.2144e+02
4.3678e+02,4.2242e+02
4.3659e+02,4.2341e+02
4.3639e+02,4.2439e+02
4.3620e+02,4.2537e+02
4.3600e+02,4.2635e+02
4.3581e+02,4.2733e+02
4.3561e+02,4.2832e+02
4.3542e+02,4.2930e+02
4.3542e+02,4.2932e+02


# Contour value=5.00 
mST_GeV,deltaM_GeV
1.3905e+03,1.0000e+01
1.3924e+03,1.0982e+01
1.3930e+03,1.1274e+01
1.3944e+03,1.1964e+01
1.3963e+03,1.2946e+01
1.3982e+03,1.3928e+01
1.3984e+03,1.4003e+01
1.4003e+03,1.4910e+01
1.4023e+03,1.5892e+01
1.4038e+03,1.6604e+01
1.4044e+03,1.6874e+01
1.4065e+03,1.7856e+01
1.4086e+03,1.8838e+01
1.4092e+03,1.9151e+01
1.4106e+03,1.9820e+01
1.4127e+03,2.0802e+01
1.4146e+03,2.1699e+01
1.4148e+03,2.1784e+01
1.4170e+03,2.2766e+01
1.4193e+03,2.3747e+01
1.4200e+03,2.4041e+01
1.4217e+03,2.4729e+01
1.4221e+03,2.5711e+01
1.4218e+03,2.6693e+01
1.4214e+03,2.7675e+01
1.4211e+03,2.8657e+01
1.4207e+03,2.9639e+01
1.4204e+03,3.0621e+01
1.4202e+03,3.1603e+01
1.4200e+03,3.2272e+01
1.4200e+03,3.2585e+01
1.4197e+03,3.3567e+01
1.4195e+03,3.4549e+01
1.4193e+03,3.5531e+01
1.4191e+03,3.6513e+01
1.4189e+03,3.7495e+01
1.4186e+03,3.8477e+01
1.4184e+03,3.9459e+01
1.4182e+03,4.0441e+01
1.4180e+03,4.1423e+01
1.4177e+03,4.2405e+01
1.4175e+03,4.3387e+01
1.4173e+03,4.4369e+01
1.4171e+03,4.5351e+01
1.4168e+03,4.6333e+01
1.4166e+03,4.7315e+01
1.4164e+03,4.8297e+01
1.4162e+03,4.9279e+01
1.4158e+03,5.0261e+01
1.4151e+03,5.1242e+01
1.4146e+03,5.1968e+01
1.4145e+03,5.2224e+01
1.4137e+03,5.3206e+01
1.4129e+03,5.4188e+01
1.4120e+03,5.5170e+01
1.4112e+03,5.6152e+01
1.4103e+03,5.7134e+01
1.4094e+03,5.8116e+01
1.4092e+03,5.8307e+01
1.4085e+03,5.9098e+01
1.4076e+03,6.0080e+01
1.4067e+03,6.1062e+01
1.4059e+03,6.2044e+01
1.4050e+03,6.3026e+01
1.4041e+03,6.4008e+01
1.4038e+03,6.4325e+01
1.4032e+03,6.4990e+01
1.4023e+03,6.5972e+01
1.4015e+03,6.6954e+01
1.4006e+03,6.7936e+01
1.3997e+03,6.8918e+01
1.3988e+03,6.9900e+01
1.3984e+03,7.0386e+01
1.3980e+03,7.0882e+01
1.3971e+03,7.1864e+01
1.3962e+03,7.2846e+01
1.3954e+03,7.3828e+01
1.3945e+03,7.4810e+01
1.3936e+03,7.5792e+01
1.3930e+03,7.6362e+01
1.3926e+03,7.6774e+01
1.3930e+03,7.7138e+01
1.3944e+03,7.7756e+01
1.3967e+03,7.8737e+01
1.3984e+03,7.9450e+01
1.3988e+03,7.9719e+01
1.4001e+03,8.0701e+01
1.4014e+03,8.1683e+01
1.4027e+03,8.2665e+01
1.4038e+03,8.3512e+01
1.4040e+03,8.3647e+01
1.4051e+03,8.4629e+01
1.4062e+03,8.5611e+01
1.4073e+03,8.6593e+01
1.4084e+03,8.7575e+01
1.4092e+03,8.8311e+01
1.4095e+03,8.8557e+01
1.4106e+03,8.9539e+01
1.4117e+03,9.0521e+01
1.4128e+03,9.1503e+01
1.4139e+03,9.2485e+01
1.4146e+03,9.3110e+01
1.4150e+03,9.3467e+01
1.4161e+03,9.4449e+01
1.4170e+03,9.5431e+01
1.4174e+03,9.6413e+01
1.4174e+03,9.7395e+01
1.4173e+03,9.8377e+01
1.4173e+03,9.9359e+01
1.4173e+03,1.0034e+02
1.4173e+03,1.0132e+02
1.4173e+03,1.0230e+02
1.4173e+03,1.0329e+02
1.4173e+03,1.0427e+02
1.4173e+03,1.0525e+02
1.4173e+03,1.0623e+02
1.4173e+03,1.0721e+02
1.4171e+03,1.0820e+02
1.4167e+03,1.0918e+02
1.4162e+03,1.1016e+02
1.4155e+03,1.1114e+02
1.4148e+03,1.1212e+02
1.4146e+03,1.1236e+02
1.4141e+03,1.1311e+02
1.4134e+03,1.1409e+02
1.4126e+03,1.1507e+02
1.4119e+03,1.1605e+02
1.4112e+03,1.1703e+02
1.4105e+03,1.1802e+02
1.4098e+03,1.1900e+02
1.4092e+03,1.1975e+02
1.4091e+03,1.1998e+02
1.4083e+03,1.2096e+02
1.4076e+03,1.2194e+02
1.4069e+03,1.2293e+02
1.4062e+03,1.2391e+02
1.4055e+03,1.2489e+02
1.4047e+03,1.2587e+02
1.4040e+03,1.2685e+02
1.4038e+03,1.2715e+02
1.4032e+03,1.2784e+02
1.4024e+03,1.2882e+02
1.4015e+03,1.2980e+02
1.4007e+03,1.3078e+02
1.3999e+03,1.3176e+02
1.3990e+03,1.3275e+02
1.3984e+03,1.3346e+02
1.3980e+03,1.3373e+02
1.3966e+03,1.3471e+02
1.3952e+03,1.3569e+02
1.3938e+03,1.3667e+02
1.3930e+03,1.3723e+02
1.3924e+03,1.3766e+02
1.3910e+03,1.3864e+02
1.3895e+03,1.3962e+02
1.3881e+03,1.4060e+02
1.3876e+03,1.4099e+02
1.3869e+03,1.4158e+02
1.3864e+03,1.4257e+02
1.3861e+03,1.4355e+02
1.3865e+03,1.4453e+02
1.3871e+03,1.4551e+02
1.3876e+03,1.4619e+02
1.3878e+03,1.4649e+02
1.3884e+03,1.4747e+02
1.3891e+03,1.4846e+02
1.3897e+03,1.4944e+02
1.3899e+03,1.5042e+02
1.3895e+03,1.5140e+02
1.3891e+03,1.5238e+02
1.3887e+03,1.5337e+02
1.3884e+03,1.5435e+02
1.3880e+03,1.5533e+02
1.3876e+03,1.5620e+02
1.3875e+03,1.5631e+02
1.3876e+03,1.5654e+02
1.3878e+03,1.5729e+02
1.3880e+03,1.5828e+02
1.3882e+03,1.5926e+02
1.3885e+03,1.6024e+02
1.3887e+03,1.6122e+02
1.3889e+03,1.6220e+02
1.3892e+03,1.6319e+02
1.3894e+03,1.6417e+02
1.3896e+03,1.6515e+02
1.3899e+03,1.6613e+02
1.3901e+03,1.6711e+02
1.3903e+03,1.6810e+02
1.3906e+03,1.6908e+02
1.3908e+03,1.7006e+02
1.3910e+03,1.7104e+02
1.3913e+03,1.7202e+02
1.3915e+03,1.7301e+02
1.3917e+03,1.7399e+02
1.3920e+03,1.7497e+02
1.3922e+03,1.7595e+02
1.3924e+03,1.7693e+02
1.3927e+03,1.7792e+02
1.3929e+03,1.7890e+02
1.3930e+03,1.7931e+02
1.3931e+03,1.7988e+02
1.3934e+03,1.8086e+02
1.3936e+03,1.8184e+02
1.3938e+03,1.8283e+02
1.3941e+03,1.8381e+02
1.3943e+03,1.8479e+02
1.3945e+03,1.8577e+02
1.3948e+03,1.8675e+02
1.3950e+03,1.8774e+02
1.3952e+03,1.8872e+02
1.3955e+03,1.8970e+02
1.3957e+03,1.9068e+02
1.3959e+03,1.9166e+02
1.3962e+03,1.9265e+02
1.3964e+03,1.9363e+02
1.3966e+03,1.9461e+02
1.3969e+03,1.9559e+02
1.3971e+03,1.9657e+02
1.3973e+03,1.9756e+02
1.3976e+03,1.9854e+02
1.3978e+03,1.9952e+02
1.3975e+03,2.0050e+02
1.3968e+03,2.0148e+02
1.3960e+03,2.0246e+02
1.3952e+03,2.0345e+02
1.3945e+03,2.0443e+02
1.3937e+03,2.0541e+02
1.3930e+03,2.0634e+02
1.3929e+03,2.0639e+02
1.3922e+03,2.0737e+02
1.3914e+03,2.0836e+02
1.3907e+03,2.0934e+02
1.3899e+03,2.1032e+02
1.3891e+03,2.1130e+02
1.3884e+03,2.1228e+02
1.3876e+03,2.1327e+02
1.3876e+03,2.1331e+02
1.3868e+03,2.1425e+02
1.3861e+03,2.1523e+02
1.3853e+03,2.1621e+02
1.3846e+03,2.1719e+02
1.3838e+03,2.1818e+02
1.3830e+03,2.1916e+02
1.3823e+03,2.2014e+02
1.3822e+03,2.2028e+02
1.3815e+03,2.2112e+02
1.3808e+03,2.2210e+02
1.3800e+03,2.2309e+02
1.3792e+03,2.2407e+02
1.3785e+03,2.2505e+02
1.3777e+03,2.2603e+02
1.3769e+03,2.2701e+02
1.3768e+03,2.2726e+02
1.3762e+03,2.2800e+02
1.3754e+03,2.2898e+02
1.3747e+03,2.2996e+02
1.3739e+03,2.3094e+02
1.3731e+03,2.3192e+02
1.3724e+03,2.3291e+02
1.3716e+03,2.3389e+02
1.3713e+03,2.3423e+02
1.3710e+03,2.3487e+02
1.3707e+03,2.3585e+02
1.3711e+03,2.3683e+02
1.3713e+03,2.3753e+02
1.3715e+03,2.3782e+02
1.3718e+03,2.3880e+02
1.3721e+03,2.3978e+02
1.3725e+03,2.4076e+02
1.3728e+03,2.4174e+02
1.3732e+03,2.4273e+02
1.3736e+03,2.4371e+02
1.3739e+03,2.4469e+02
1.3743e+03,2.4567e+02
1.3746e+03,2.4665e+02
1.3750e+03,2.4764e+02
1.3753e+03,2.4862e+02
1.3757e+03,2.4960e+02
1.3757e+03,2.5058e+02
1.3755e+03,2.5156e+02
1.3753e+03,2.5255e+02
1.3751e+03,2.5353e+02
1.3749e+03,2.5451e+02
1.3747e+03,2.5549e+02
1.3745e+03,2.5647e+02
1.3743e+03,2.5745e+02
1.3741e+03,2.5844e+02
1.3740e+03,2.5942e+02
1.3738e+03,2.6040e+02
1.3736e+03,2.6138e+02
1.3735e+03,2.6236e+02
1.3734e+03,2.6335e+02
1.3733e+03,2.6433e+02
1.3734e+03,2.6531e+02
1.3735e+03,2.6629e+02
1.3737e+03,2.6727e+02
1.3738e+03,2.6826e+02
1.3739e+03,2.6924e+02
1.3740e+03,2.7022e+02
1.3742e+03,2.7120e+02
1.3743e+03,2.7218e+02
1.3744e+03,2.7317e+02
1.3745e+03,2.7415e+02
1.3747e+03,2.7513e+02
1.3748e+03,2.7611e+02
1.3749e+03,2.7709e+02
1.3750e+03,2.7808e+02
1.3752e+03,2.7906e+02
1.3753e+03,2.8004e+02
1.3754e+03,2.8102e+02
1.3755e+03,2.8200e+02
1.3757e+03,2.8299e+02
1.3758e+03,2.8397e+02
1.3759e+03,2.8495e+02
1.3760e+03,2.8593e+02
1.3762e+03,2.8691e+02
1.3763e+03,2.8790e+02
1.3764e+03,2.8888e+02
1.3765e+03,2.8986e+02
1.3767e+03,2.9084e+02
1.3768e+03,2.9155e+02
1.3768e+03,2.9182e+02
1.3769e+03,2.9281e+02
1.3770e+03,2.9379e+02
1.3772e+03,2.9477e+02
1.3773e+03,2.9575e+02
1.3774e+03,2.9673e+02
1.3775e+03,2.9772e+02
1.3777e+03,2.9870e+02
1.3778e+03,2.9968e+02
1.3780e+03,3.0066e+02
1.3784e+03,3.0164e+02
1.3787e+03,3.0263e+02
1.3790e+03,3.0361e+02
1.3793e+03,3.0459e+02
1.3797e+03,3.0557e+02
1.3800e+03,3.0655e+02
1.3803e+03,3.0754e+02
1.3806e+03,3.0852e+02
1.3810e+03,3.0950e+02
1.3813e+03,3.1048e+02
1.3816e+03,3.1146e+02
1.3819e+03,3.1244e+02
