

# Contour for yDM=15 
mST_GeV,mChi_GeV,yDM
8.3092e+02,5.4263e+02,1.5000e+01
8.3050e+02,5.4417e+02,1.5000e+01
8.3008e+02,5.4571e+02,1.5000e+01
8.2966e+02,5.4725e+02,1.5000e+01
8.2924e+02,5.4879e+02,1.5000e+01
8.2904e+02,5.4951e+02,1.5000e+01
8.2020e+02,5.8193e+02,1.5000e+01
8.2000e+02,5.8267e+02,1.5000e+01
8.1958e+02,5.8421e+02,1.5000e+01
8.1916e+02,5.8575e+02,1.5000e+01
8.1874e+02,5.8729e+02,1.5000e+01
8.1832e+02,5.8883e+02,1.5000e+01
8.1790e+02,5.9037e+02,1.5000e+01
8.1748e+02,5.9191e+02,1.5000e+01
8.1706e+02,5.9345e+02,1.5000e+01
8.1664e+02,5.9499e+02,1.5000e+01
8.1658e+02,5.9521e+02,1.5000e+01
8.1622e+02,5.9653e+02,1.5000e+01
8.1580e+02,5.9807e+02,1.5000e+01
8.1538e+02,5.9961e+02,1.5000e+01
8.1496e+02,6.0115e+02,1.5000e+01
8.1455e+02,6.0269e+02,1.5000e+01
8.1413e+02,6.0423e+02,1.5000e+01
8.1371e+02,6.0577e+02,1.5000e+01
8.1333e+02,6.0735e+02,1.5000e+01
8.1301e+02,6.0899e+02,1.5000e+01
8.1270e+02,6.1064e+02,1.5000e+01
8.1256e+02,6.1137e+02,1.5000e+01
8.1239e+02,6.1229e+02,1.5000e+01
8.1230e+02,6.1416e+02,1.5000e+01
8.1223e+02,6.1605e+02,1.5000e+01
8.1217e+02,6.1794e+02,1.5000e+01
8.1212e+02,6.1986e+02,1.5000e+01
8.1208e+02,6.2178e+02,1.5000e+01
8.1205e+02,6.2370e+02,1.5000e+01
8.1201e+02,6.2563e+02,1.5000e+01
8.1197e+02,6.2755e+02,1.5000e+01
8.1194e+02,6.2947e+02,1.5000e+01
8.1190e+02,6.3140e+02,1.5000e+01
8.1186e+02,6.3332e+02,1.5000e+01
8.1182e+02,6.3524e+02,1.5000e+01
8.1179e+02,6.3716e+02,1.5000e+01
8.1175e+02,6.3909e+02,1.5000e+01
8.1171e+02,6.4101e+02,1.5000e+01
8.1168e+02,6.4293e+02,1.5000e+01
8.1164e+02,6.4485e+02,1.5000e+01
8.1160e+02,6.4678e+02,1.5000e+01
8.1156e+02,6.4870e+02,1.5000e+01
8.1153e+02,6.5062e+02,1.5000e+01
8.1149e+02,6.5255e+02,1.5000e+01
8.1145e+02,6.5447e+02,1.5000e+01
8.1142e+02,6.5639e+02,1.5000e+01
8.1138e+02,6.5831e+02,1.5000e+01
8.1134e+02,6.6024e+02,1.5000e+01
8.1130e+02,6.6216e+02,1.5000e+01
8.1127e+02,6.6408e+02,1.5000e+01
8.1123e+02,6.6600e+02,1.5000e+01
8.1119e+02,6.6793e+02,1.5000e+01
8.1116e+02,6.6985e+02,1.5000e+01
8.1112e+02,6.7177e+02,1.5000e+01
8.1108e+02,6.7370e+02,1.5000e+01
8.1105e+02,6.7562e+02,1.5000e+01
8.1101e+02,6.7754e+02,1.5000e+01
8.1097e+02,6.7946e+02,1.5000e+01
8.1093e+02,6.8139e+02,1.5000e+01
8.1090e+02,6.8331e+02,1.5000e+01
8.1086e+02,6.8523e+02,1.5000e+01
8.1082e+02,6.8715e+02,1.5000e+01
8.1079e+02,6.8908e+02,1.5000e+01
8.1075e+02,6.9100e+02,1.5000e+01
8.1071e+02,6.9292e+02,1.5000e+01
8.1067e+02,6.9485e+02,1.5000e+01
8.1064e+02,6.9677e+02,1.5000e+01
8.1060e+02,6.9869e+02,1.5000e+01
8.1056e+02,7.0061e+02,1.5000e+01
8.1053e+02,7.0254e+02,1.5000e+01
8.1049e+02,7.0446e+02,1.5000e+01
8.1045e+02,7.0638e+02,1.5000e+01
8.1042e+02,7.0830e+02,1.5000e+01
8.1038e+02,7.1023e+02,1.5000e+01
8.0972e+02,7.1153e+02,1.5000e+01
8.0909e+02,7.1286e+02,1.5000e+01
8.0854e+02,7.1415e+02,1.5000e+01
8.0851e+02,7.1423e+02,1.5000e+01
8.0792e+02,7.1561e+02,1.5000e+01
8.0733e+02,7.1698e+02,1.5000e+01
8.0674e+02,7.1835e+02,1.5000e+01
8.0615e+02,7.1972e+02,1.5000e+01
8.0556e+02,7.2109e+02,1.5000e+01
8.0497e+02,7.2246e+02,1.5000e+01
8.0452e+02,7.2351e+02,1.5000e+01
8.0438e+02,7.2383e+02,1.5000e+01
8.0379e+02,7.2520e+02,1.5000e+01
8.0321e+02,7.2657e+02,1.5000e+01
8.0262e+02,7.2794e+02,1.5000e+01
8.0203e+02,7.2931e+02,1.5000e+01
8.0144e+02,7.3069e+02,1.5000e+01
8.0085e+02,7.3206e+02,1.5000e+01
8.0050e+02,7.3286e+02,1.5000e+01
8.0026e+02,7.3342e+02,1.5000e+01
7.9966e+02,7.3478e+02,1.5000e+01
7.9906e+02,7.3615e+02,1.5000e+01
7.9846e+02,7.3751e+02,1.5000e+01
7.9786e+02,7.3887e+02,1.5000e+01
7.9726e+02,7.4023e+02,1.5000e+01
7.9667e+02,7.4159e+02,1.5000e+01
7.9648e+02,7.4201e+02,1.5000e+01
7.9608e+02,7.4296e+02,1.5000e+01
7.9565e+02,7.4449e+02,1.5000e+01
7.9539e+02,7.4619e+02,1.5000e+01
7.9508e+02,7.4784e+02,1.5000e+01
7.9477e+02,7.4949e+02,1.5000e+01
7.9446e+02,7.5114e+02,1.5000e+01
7.9415e+02,7.5280e+02,1.5000e+01
7.9385e+02,7.5445e+02,1.5000e+01
7.9354e+02,7.5610e+02,1.5000e+01
7.9323e+02,7.5775e+02,1.5000e+01
7.9292e+02,7.5940e+02,1.5000e+01
7.9261e+02,7.6106e+02,1.5000e+01
7.9246e+02,7.6187e+02,1.5000e+01
7.9231e+02,7.6271e+02,1.5000e+01
7.9199e+02,7.6435e+02,1.5000e+01
7.9125e+02,7.6558e+02,1.5000e+01
7.9075e+02,7.6703e+02,1.5000e+01
7.9041e+02,7.6865e+02,1.5000e+01
7.9006e+02,7.7026e+02,1.5000e+01
7.8971e+02,7.7187e+02,1.5000e+01
7.8936e+02,7.7348e+02,1.5000e+01
7.8901e+02,7.7509e+02,1.5000e+01
7.8866e+02,7.7670e+02,1.5000e+01
7.8844e+02,7.7769e+02,1.5000e+01
7.8831e+02,7.7831e+02,1.5000e+01


# Contour for yDM=20 
mST_GeV,mChi_GeV,yDM
1.1099e+03,7.0989e+02,2.0000e+01
1.1095e+03,7.1149e+02,2.0000e+01
1.1092e+03,7.1309e+02,2.0000e+01
1.1088e+03,7.1469e+02,2.0000e+01
1.1085e+03,7.1629e+02,2.0000e+01
1.1081e+03,7.1789e+02,2.0000e+01
1.1077e+03,7.1949e+02,2.0000e+01
1.1074e+03,7.2109e+02,2.0000e+01
1.1070e+03,7.2269e+02,2.0000e+01
1.1067e+03,7.2429e+02,2.0000e+01
1.1063e+03,7.2590e+02,2.0000e+01
1.1060e+03,7.2709e+02,2.0000e+01
1.1059e+03,7.2750e+02,2.0000e+01
1.1056e+03,7.2910e+02,2.0000e+01
1.1052e+03,7.3070e+02,2.0000e+01
1.1049e+03,7.3230e+02,2.0000e+01
1.1045e+03,7.3390e+02,2.0000e+01
1.1041e+03,7.3550e+02,2.0000e+01
1.1038e+03,7.3710e+02,2.0000e+01
1.1034e+03,7.3870e+02,2.0000e+01
1.1031e+03,7.4030e+02,2.0000e+01
1.1027e+03,7.4190e+02,2.0000e+01
1.1023e+03,7.4351e+02,2.0000e+01
1.1020e+03,7.4502e+02,2.0000e+01
1.1020e+03,7.4511e+02,2.0000e+01
1.1016e+03,7.4671e+02,2.0000e+01
1.1013e+03,7.4831e+02,2.0000e+01
1.1009e+03,7.4991e+02,2.0000e+01
1.1005e+03,7.5149e+02,2.0000e+01
1.1002e+03,7.5307e+02,2.0000e+01
1.0998e+03,7.5465e+02,2.0000e+01
1.0994e+03,7.5623e+02,2.0000e+01
1.0990e+03,7.5780e+02,2.0000e+01
1.0986e+03,7.5938e+02,2.0000e+01
1.0982e+03,7.6096e+02,2.0000e+01
1.0980e+03,7.6201e+02,2.0000e+01
1.0979e+03,7.6253e+02,2.0000e+01
1.0975e+03,7.6411e+02,2.0000e+01
1.0971e+03,7.6569e+02,2.0000e+01
1.0967e+03,7.6727e+02,2.0000e+01
1.0963e+03,7.6884e+02,2.0000e+01
1.0959e+03,7.7042e+02,2.0000e+01
1.0956e+03,7.7200e+02,2.0000e+01
1.0952e+03,7.7358e+02,2.0000e+01
1.0948e+03,7.7515e+02,2.0000e+01
1.0944e+03,7.7673e+02,2.0000e+01
1.0940e+03,7.7831e+02,2.0000e+01
1.0940e+03,7.7858e+02,2.0000e+01
1.0937e+03,7.7989e+02,2.0000e+01
1.0933e+03,7.8146e+02,2.0000e+01
1.0929e+03,7.8304e+02,2.0000e+01
1.0925e+03,7.8462e+02,2.0000e+01
1.0921e+03,7.8619e+02,2.0000e+01
1.0917e+03,7.8777e+02,2.0000e+01
1.0914e+03,7.8935e+02,2.0000e+01
1.0910e+03,7.9093e+02,2.0000e+01
1.0910e+03,7.9291e+02,2.0000e+01
1.0910e+03,7.9490e+02,2.0000e+01
1.0911e+03,7.9690e+02,2.0000e+01
1.0911e+03,7.9889e+02,2.0000e+01
1.0911e+03,8.0088e+02,2.0000e+01
1.0912e+03,8.0288e+02,2.0000e+01
1.0912e+03,8.0487e+02,2.0000e+01
1.0912e+03,8.0686e+02,2.0000e+01
1.0913e+03,8.0886e+02,2.0000e+01
1.0913e+03,8.1085e+02,2.0000e+01
1.0913e+03,8.1285e+02,2.0000e+01
1.0914e+03,8.1484e+02,2.0000e+01
1.0914e+03,8.1683e+02,2.0000e+01
1.0914e+03,8.1883e+02,2.0000e+01
1.0915e+03,8.2082e+02,2.0000e+01
1.0915e+03,8.2281e+02,2.0000e+01
1.0915e+03,8.2481e+02,2.0000e+01
1.0916e+03,8.2680e+02,2.0000e+01
1.0916e+03,8.2879e+02,2.0000e+01
1.0916e+03,8.3079e+02,2.0000e+01
1.0917e+03,8.3278e+02,2.0000e+01
1.0917e+03,8.3477e+02,2.0000e+01
1.0917e+03,8.3676e+02,2.0000e+01
1.0916e+03,8.3856e+02,2.0000e+01
1.0913e+03,8.4020e+02,2.0000e+01
1.0909e+03,8.4184e+02,2.0000e+01
1.0906e+03,8.4347e+02,2.0000e+01
1.0903e+03,8.4511e+02,2.0000e+01
1.0900e+03,8.4675e+02,2.0000e+01
1.0899e+03,8.4682e+02,2.0000e+01
1.0896e+03,8.4838e+02,2.0000e+01
1.0893e+03,8.5002e+02,2.0000e+01
1.0890e+03,8.5166e+02,2.0000e+01
1.0887e+03,8.5330e+02,2.0000e+01
1.0884e+03,8.5493e+02,2.0000e+01
1.0880e+03,8.5657e+02,2.0000e+01
1.0877e+03,8.5821e+02,2.0000e+01
1.0874e+03,8.5985e+02,2.0000e+01
1.0871e+03,8.6148e+02,2.0000e+01
1.0867e+03,8.6312e+02,2.0000e+01
1.0864e+03,8.6476e+02,2.0000e+01
1.0861e+03,8.6640e+02,2.0000e+01
1.0859e+03,8.6723e+02,2.0000e+01
1.0858e+03,8.6803e+02,2.0000e+01
1.0854e+03,8.6967e+02,2.0000e+01
1.0851e+03,8.7131e+02,2.0000e+01
1.0848e+03,8.7295e+02,2.0000e+01
1.0845e+03,8.7458e+02,2.0000e+01
1.0842e+03,8.7622e+02,2.0000e+01
1.0838e+03,8.7786e+02,2.0000e+01
1.0835e+03,8.7949e+02,2.0000e+01
1.0832e+03,8.8113e+02,2.0000e+01
1.0829e+03,8.8277e+02,2.0000e+01
1.0828e+03,8.8464e+02,2.0000e+01
1.0827e+03,8.8653e+02,2.0000e+01
1.0827e+03,8.8716e+02,2.0000e+01
1.0811e+03,9.2718e+02,2.0000e+01
1.0811e+03,9.2803e+02,2.0000e+01
1.0810e+03,9.2992e+02,2.0000e+01
1.0810e+03,9.3181e+02,2.0000e+01
1.0809e+03,9.3369e+02,2.0000e+01
1.0808e+03,9.3558e+02,2.0000e+01
1.0807e+03,9.3747e+02,2.0000e+01
1.0807e+03,9.3935e+02,2.0000e+01
1.0804e+03,9.4105e+02,2.0000e+01
1.0800e+03,9.4264e+02,2.0000e+01
1.0796e+03,9.4420e+02,2.0000e+01
1.0792e+03,9.4575e+02,2.0000e+01
1.0788e+03,9.4731e+02,2.0000e+01
1.0784e+03,9.4887e+02,2.0000e+01
1.0780e+03,9.5043e+02,2.0000e+01
1.0779e+03,9.5093e+02,2.0000e+01
1.0776e+03,9.5199e+02,2.0000e+01
1.0772e+03,9.5355e+02,2.0000e+01
1.0768e+03,9.5511e+02,2.0000e+01
1.0764e+03,9.5666e+02,2.0000e+01
1.0760e+03,9.5822e+02,2.0000e+01
1.0756e+03,9.5978e+02,2.0000e+01
1.0752e+03,9.6134e+02,2.0000e+01
1.0748e+03,9.6290e+02,2.0000e+01
1.0744e+03,9.6446e+02,2.0000e+01
1.0740e+03,9.6602e+02,2.0000e+01
1.0739e+03,9.6655e+02,2.0000e+01
1.0736e+03,9.6757e+02,2.0000e+01
1.0732e+03,9.6913e+02,2.0000e+01
1.0728e+03,9.7069e+02,2.0000e+01
1.0724e+03,9.7225e+02,2.0000e+01
1.0717e+03,9.7355e+02,2.0000e+01
1.0711e+03,9.7484e+02,2.0000e+01
1.0704e+03,9.7612e+02,2.0000e+01
1.0698e+03,9.7715e+02,2.0000e+01
1.0697e+03,9.7740e+02,2.0000e+01
1.0690e+03,9.7869e+02,2.0000e+01
1.0684e+03,9.7997e+02,2.0000e+01
1.0677e+03,9.8125e+02,2.0000e+01
1.0670e+03,9.8254e+02,2.0000e+01
1.0663e+03,9.8382e+02,2.0000e+01
1.0658e+03,9.8477e+02,2.0000e+01
1.0657e+03,9.8510e+02,2.0000e+01
1.0650e+03,9.8638e+02,2.0000e+01
1.0643e+03,9.8767e+02,2.0000e+01
1.0636e+03,9.8895e+02,2.0000e+01
1.0629e+03,9.9023e+02,2.0000e+01
1.0623e+03,9.9152e+02,2.0000e+01
1.0618e+03,9.9239e+02,2.0000e+01
1.0616e+03,9.9280e+02,2.0000e+01
1.0609e+03,9.9408e+02,2.0000e+01
1.0603e+03,9.9543e+02,2.0000e+01
1.0599e+03,9.9702e+02,2.0000e+01
1.0596e+03,9.9864e+02,2.0000e+01
1.0593e+03,1.0003e+03,2.0000e+01
1.0589e+03,1.0019e+03,2.0000e+01
1.0586e+03,1.0035e+03,2.0000e+01
1.0582e+03,1.0051e+03,2.0000e+01
1.0579e+03,1.0067e+03,2.0000e+01
1.0578e+03,1.0072e+03,2.0000e+01
1.0575e+03,1.0083e+03,2.0000e+01
1.0571e+03,1.0099e+03,2.0000e+01
1.0568e+03,1.0115e+03,2.0000e+01
1.0564e+03,1.0131e+03,2.0000e+01
1.0560e+03,1.0146e+03,2.0000e+01
1.0556e+03,1.0162e+03,2.0000e+01
1.0552e+03,1.0178e+03,2.0000e+01
1.0548e+03,1.0193e+03,2.0000e+01
1.0544e+03,1.0209e+03,2.0000e+01
1.0540e+03,1.0225e+03,2.0000e+01
1.0538e+03,1.0231e+03,2.0000e+01
1.0535e+03,1.0239e+03,2.0000e+01
1.0529e+03,1.0253e+03,2.0000e+01
1.0524e+03,1.0267e+03,2.0000e+01
1.0520e+03,1.0283e+03,2.0000e+01
1.0519e+03,1.0301e+03,2.0000e+01
1.0516e+03,1.0318e+03,2.0000e+01
1.0514e+03,1.0336e+03,2.0000e+01
1.0512e+03,1.0353e+03,2.0000e+01
1.0510e+03,1.0370e+03,2.0000e+01
1.0507e+03,1.0388e+03,2.0000e+01
1.0505e+03,1.0405e+03,2.0000e+01
