

# Contour for yDM=12 
mST_GeV,mChi_GeV,yDM
7.4422e+02,6.6266e+02,1.2000e+01
7.4340e+02,6.6284e+02,1.2000e+01
7.4225e+02,6.6366e+02,1.2000e+01
7.4192e+02,6.6529e+02,1.2000e+01
7.4179e+02,6.6711e+02,1.2000e+01
7.4165e+02,6.6893e+02,1.2000e+01
7.4151e+02,6.7075e+02,1.2000e+01
7.4137e+02,6.7258e+02,1.2000e+01
7.4123e+02,6.7440e+02,1.2000e+01
7.4109e+02,6.7622e+02,1.2000e+01
7.4095e+02,6.7804e+02,1.2000e+01
7.4082e+02,6.7986e+02,1.2000e+01
7.4068e+02,6.8168e+02,1.2000e+01
7.4054e+02,6.8350e+02,1.2000e+01
7.4040e+02,6.8532e+02,1.2000e+01
7.4026e+02,6.8714e+02,1.2000e+01
7.4020e+02,6.8792e+02,1.2000e+01
7.4012e+02,6.8897e+02,1.2000e+01
7.4014e+02,6.9095e+02,1.2000e+01
7.4020e+02,6.9146e+02,1.2000e+01
7.4039e+02,6.9316e+02,1.2000e+01
7.4064e+02,6.9537e+02,1.2000e+01
7.4090e+02,6.9758e+02,1.2000e+01
7.4115e+02,6.9979e+02,1.2000e+01
7.4114e+02,7.0174e+02,1.2000e+01
7.4020e+02,7.0261e+02,1.2000e+01
7.4012e+02,7.0268e+02,1.2000e+01
7.3902e+02,7.0354e+02,1.2000e+01
7.3791e+02,7.0440e+02,1.2000e+01
7.3681e+02,7.0526e+02,1.2000e+01
7.3618e+02,7.0575e+02,1.2000e+01
7.3571e+02,7.0611e+02,1.2000e+01
7.3461e+02,7.0697e+02,1.2000e+01
7.3351e+02,7.0783e+02,1.2000e+01
7.3376e+02,7.1004e+02,1.2000e+01
7.3473e+02,7.1297e+02,1.2000e+01
7.3570e+02,7.1590e+02,1.2000e+01
7.3618e+02,7.1736e+02,1.2000e+01
7.3666e+02,7.1883e+02,1.2000e+01
7.3757e+02,7.2169e+02,1.2000e+01
7.3673e+02,7.2282e+02,1.2000e+01
7.3618e+02,7.2322e+02,1.2000e+01
7.3560e+02,7.2364e+02,1.2000e+01
7.3447e+02,7.2447e+02,1.2000e+01


# Contour for yDM=15 
mST_GeV,mChi_GeV,yDM
1.2534e+03,8.5341e+02,1.5000e+01
1.2531e+03,8.5505e+02,1.5000e+01
1.2528e+03,8.5669e+02,1.5000e+01
1.2525e+03,8.5833e+02,1.5000e+01
1.2521e+03,8.5998e+02,1.5000e+01
1.2518e+03,8.6162e+02,1.5000e+01
1.2515e+03,8.6326e+02,1.5000e+01
1.2512e+03,8.6490e+02,1.5000e+01
1.2509e+03,8.6655e+02,1.5000e+01
1.2508e+03,8.6699e+02,1.5000e+01
1.2505e+03,8.6810e+02,1.5000e+01
1.2499e+03,8.6949e+02,1.5000e+01
1.2493e+03,8.7089e+02,1.5000e+01
1.2488e+03,8.7229e+02,1.5000e+01
1.2482e+03,8.7369e+02,1.5000e+01
1.2476e+03,8.7509e+02,1.5000e+01
1.2471e+03,8.7648e+02,1.5000e+01
1.2467e+03,8.7736e+02,1.5000e+01
1.2465e+03,8.7788e+02,1.5000e+01
1.2460e+03,8.7928e+02,1.5000e+01
1.2454e+03,8.8068e+02,1.5000e+01
1.2448e+03,8.8208e+02,1.5000e+01
1.2443e+03,8.8347e+02,1.5000e+01
1.2437e+03,8.8487e+02,1.5000e+01
1.2432e+03,8.8627e+02,1.5000e+01
1.2427e+03,8.8736e+02,1.5000e+01
1.2426e+03,8.8767e+02,1.5000e+01
1.2420e+03,8.8907e+02,1.5000e+01
1.2415e+03,8.9046e+02,1.5000e+01
1.2409e+03,8.9186e+02,1.5000e+01
1.2403e+03,8.9326e+02,1.5000e+01
1.2398e+03,8.9466e+02,1.5000e+01
1.2392e+03,8.9606e+02,1.5000e+01
1.2387e+03,8.9737e+02,1.5000e+01
1.2387e+03,8.9745e+02,1.5000e+01
1.2381e+03,8.9885e+02,1.5000e+01
1.2375e+03,9.0025e+02,1.5000e+01
1.2370e+03,9.0165e+02,1.5000e+01
1.2364e+03,9.0305e+02,1.5000e+01
1.2359e+03,9.0444e+02,1.5000e+01
1.2353e+03,9.0584e+02,1.5000e+01
1.2347e+03,9.0724e+02,1.5000e+01
1.2347e+03,9.0737e+02,1.5000e+01
1.2342e+03,9.0864e+02,1.5000e+01
1.2336e+03,9.1004e+02,1.5000e+01
1.2330e+03,9.1143e+02,1.5000e+01
1.2325e+03,9.1283e+02,1.5000e+01
1.2319e+03,9.1423e+02,1.5000e+01
1.2314e+03,9.1563e+02,1.5000e+01
1.2308e+03,9.1703e+02,1.5000e+01
1.2307e+03,9.1738e+02,1.5000e+01
1.2302e+03,9.1842e+02,1.5000e+01
1.2297e+03,9.1982e+02,1.5000e+01
1.2291e+03,9.2122e+02,1.5000e+01
1.2285e+03,9.2262e+02,1.5000e+01
1.2280e+03,9.2402e+02,1.5000e+01
1.2274e+03,9.2541e+02,1.5000e+01
1.2269e+03,9.2681e+02,1.5000e+01
1.2267e+03,9.2860e+02,1.5000e+01
1.2266e+03,9.2920e+02,1.5000e+01
1.2265e+03,9.3039e+02,1.5000e+01
1.2264e+03,9.3219e+02,1.5000e+01
1.2262e+03,9.3399e+02,1.5000e+01
1.2260e+03,9.3578e+02,1.5000e+01
1.2259e+03,9.3758e+02,1.5000e+01
1.2257e+03,9.3938e+02,1.5000e+01
1.2255e+03,9.4117e+02,1.5000e+01
1.2254e+03,9.4297e+02,1.5000e+01
1.2252e+03,9.4476e+02,1.5000e+01
1.2251e+03,9.4656e+02,1.5000e+01
1.2249e+03,9.4836e+02,1.5000e+01
1.2247e+03,9.5015e+02,1.5000e+01
1.2246e+03,9.5195e+02,1.5000e+01
1.2244e+03,9.5375e+02,1.5000e+01
1.2242e+03,9.5554e+02,1.5000e+01
1.2241e+03,9.5734e+02,1.5000e+01
1.2239e+03,9.5914e+02,1.5000e+01
1.2237e+03,9.6093e+02,1.5000e+01
1.2236e+03,9.6273e+02,1.5000e+01
1.2234e+03,9.6452e+02,1.5000e+01
1.2233e+03,9.6632e+02,1.5000e+01
1.2231e+03,9.6812e+02,1.5000e+01
1.2229e+03,9.6991e+02,1.5000e+01
1.2228e+03,9.7171e+02,1.5000e+01
1.2226e+03,9.7338e+02,1.5000e+01
1.2226e+03,9.7351e+02,1.5000e+01
1.2224e+03,9.7530e+02,1.5000e+01
1.2223e+03,9.7710e+02,1.5000e+01
1.2221e+03,9.7890e+02,1.5000e+01
1.2219e+03,9.8069e+02,1.5000e+01
1.2218e+03,9.8249e+02,1.5000e+01
1.2216e+03,9.8428e+02,1.5000e+01
1.2215e+03,9.8608e+02,1.5000e+01
1.2213e+03,9.8788e+02,1.5000e+01
1.2211e+03,9.8967e+02,1.5000e+01
1.2210e+03,9.9147e+02,1.5000e+01
1.2208e+03,9.9327e+02,1.5000e+01
