# SM parameters:
#  g1 = 3.58e-01, g2 = 6.48e-01, g3 = 1.06e+00, yt = 9.89e-01 , yb = 2.70e-02, yta = 1.02e-02
# UV parameters:
#  mST = 1000.00, mChi = 900.00
# The total value for the coefficient is given by C0 + yDM^2*C2 + yDM^4*C4, where yDM is the BSM coupling
Coefficient,Indices,C0 (1/GeV^2),C2 (1/GeV^2),C4 (1/GeV^2)
cHe,(2 2),2.313e-12,0.000e+00,0.000e+00
cHe,(3 3),2.313e-12,0.000e+00,0.000e+00
cHl1,(1 1),1.157e-12,0.000e+00,0.000e+00
cHl1,(2 2),1.157e-12,0.000e+00,0.000e+00
cHl1,(3 3),1.157e-12,0.000e+00,0.000e+00
cHq1,(1 1),-3.856e-13,0.000e+00,0.000e+00
cHq1,(2 2),-3.856e-13,0.000e+00,0.000e+00
cHq1,(3 3),-3.856e-13,1.398e-10,0.000e+00
cHq3,(3 3),0.000e+00,-1.398e-10,0.000e+00
cHu,(1 1),-1.542e-12,0.000e+00,0.000e+00
cHu,(2 2),-1.542e-12,0.000e+00,0.000e+00
cHu,(3 3),-1.542e-12,1.173e-11,0.000e+00
cld,(1 1 1 1),-7.711e-13,0.000e+00,0.000e+00
cld,(1 1 2 2),-7.711e-13,0.000e+00,0.000e+00
cld,(1 1 3 3),-7.711e-13,0.000e+00,0.000e+00
cld,(2 2 1 1),-7.711e-13,0.000e+00,0.000e+00
cld,(2 2 2 2),-7.711e-13,0.000e+00,0.000e+00
cld,(2 2 3 3),-7.711e-13,0.000e+00,0.000e+00
cld,(3 3 1 1),-7.711e-13,0.000e+00,0.000e+00
cld,(3 3 2 2),-7.711e-13,0.000e+00,0.000e+00
cld,(3 3 3 3),-7.711e-13,0.000e+00,0.000e+00
cle,(1 1 1 1),-2.313e-12,0.000e+00,0.000e+00
cle,(1 1 2 2),-2.313e-12,0.000e+00,0.000e+00
cle,(1 1 3 3),-2.313e-12,0.000e+00,0.000e+00
cle,(2 2 1 1),-2.313e-12,0.000e+00,0.000e+00
cle,(2 2 2 2),-2.313e-12,0.000e+00,0.000e+00
cle,(2 2 3 3),-2.313e-12,0.000e+00,0.000e+00
cle,(3 3 1 1),-2.313e-12,0.000e+00,0.000e+00
cle,(3 3 2 2),-2.313e-12,0.000e+00,0.000e+00
cle,(3 3 3 3),-2.313e-12,0.000e+00,0.000e+00
cll,(1 1 1 1),-5.783e-13,0.000e+00,0.000e+00
cll,(1 1 2 2),-5.783e-13,0.000e+00,0.000e+00
cll,(1 1 3 3),-5.783e-13,0.000e+00,0.000e+00
cll,(2 2 1 1),-5.783e-13,0.000e+00,0.000e+00
cll,(2 2 2 2),-5.783e-13,0.000e+00,0.000e+00
cll,(2 2 3 3),-5.783e-13,0.000e+00,0.000e+00
cll,(3 3 1 1),-5.783e-13,0.000e+00,0.000e+00
cll,(3 3 2 2),-5.783e-13,0.000e+00,0.000e+00
cll,(3 3 3 3),-5.783e-13,0.000e+00,0.000e+00
clq1,(1 1 1 1),3.856e-13,0.000e+00,0.000e+00
clq1,(1 1 2 2),3.856e-13,0.000e+00,0.000e+00
clq1,(1 1 3 3),3.856e-13,0.000e+00,0.000e+00
clq1,(2 2 1 1),3.856e-13,0.000e+00,0.000e+00
clq1,(2 2 2 2),3.856e-13,0.000e+00,0.000e+00
clq1,(2 2 3 3),3.856e-13,0.000e+00,0.000e+00
clq1,(3 3 1 1),3.856e-13,0.000e+00,0.000e+00
clq1,(3 3 2 2),3.856e-13,0.000e+00,0.000e+00
clq1,(3 3 3 3),3.856e-13,0.000e+00,0.000e+00
clu,(1 1 1 1),1.542e-12,0.000e+00,0.000e+00
clu,(1 1 2 2),1.542e-12,0.000e+00,0.000e+00
clu,(1 1 3 3),1.542e-12,-1.173e-11,0.000e+00
clu,(2 2 1 1),1.542e-12,0.000e+00,0.000e+00
clu,(2 2 2 2),1.542e-12,0.000e+00,0.000e+00
clu,(2 2 3 3),1.542e-12,-1.173e-11,0.000e+00
clu,(3 3 1 1),1.542e-12,0.000e+00,0.000e+00
clu,(3 3 2 2),1.542e-12,0.000e+00,0.000e+00
clu,(3 3 3 3),1.542e-12,-1.173e-11,0.000e+00
cqd1,(1 1 1 1),2.570e-13,0.000e+00,0.000e+00
cqd1,(1 1 2 2),2.570e-13,0.000e+00,0.000e+00
cqd1,(1 1 3 3),2.570e-13,0.000e+00,0.000e+00
cqd1,(2 2 1 1),2.570e-13,0.000e+00,0.000e+00
cqd1,(2 2 2 2),2.570e-13,0.000e+00,0.000e+00
cqd1,(2 2 3 3),2.570e-13,0.000e+00,0.000e+00
cqd1,(3 3 1 1),2.570e-13,0.000e+00,0.000e+00
cqd1,(3 3 2 2),2.570e-13,0.000e+00,0.000e+00
cqd1,(3 3 3 3),2.570e-13,0.000e+00,0.000e+00
cqd8,(1 1 1 1),-1.342e-10,0.000e+00,0.000e+00
cqd8,(1 1 2 2),-1.342e-10,0.000e+00,0.000e+00
cqd8,(1 1 3 3),-1.342e-10,0.000e+00,0.000e+00
cqd8,(2 2 1 1),-1.342e-10,0.000e+00,0.000e+00
cqd8,(2 2 2 2),-1.342e-10,0.000e+00,0.000e+00
cqd8,(2 2 3 3),-1.342e-10,0.000e+00,0.000e+00
cqd8,(3 3 1 1),-1.342e-10,0.000e+00,0.000e+00
cqd8,(3 3 2 2),-1.342e-10,0.000e+00,0.000e+00
cqd8,(3 3 3 3),-1.342e-10,0.000e+00,0.000e+00
cqe,(1 1 1 1),7.711e-13,0.000e+00,0.000e+00
cqe,(1 1 2 2),7.711e-13,0.000e+00,0.000e+00
cqe,(1 1 3 3),7.711e-13,0.000e+00,0.000e+00
cqe,(2 2 1 1),7.711e-13,0.000e+00,0.000e+00
cqe,(2 2 2 2),7.711e-13,0.000e+00,0.000e+00
cqe,(2 2 3 3),7.711e-13,0.000e+00,0.000e+00
cqe,(3 3 1 1),7.711e-13,0.000e+00,0.000e+00
cqe,(3 3 2 2),7.711e-13,0.000e+00,0.000e+00
cqe,(3 3 3 3),7.711e-13,0.000e+00,0.000e+00
cqq1,(1 1 1 1),-5.657e-12,0.000e+00,0.000e+00
cqq1,(1 1 2 2),1.112e-11,0.000e+00,0.000e+00
cqq1,(1 1 3 3),1.112e-11,0.000e+00,0.000e+00
cqq1,(1 2 2 1),-1.678e-11,0.000e+00,0.000e+00
cqq1,(1 3 3 1),-1.678e-11,0.000e+00,0.000e+00
cqq1,(2 1 1 2),-1.678e-11,0.000e+00,0.000e+00
cqq1,(2 2 1 1),1.112e-11,0.000e+00,0.000e+00
cqq1,(2 2 2 2),-5.657e-12,0.000e+00,0.000e+00
cqq1,(2 2 3 3),1.112e-11,0.000e+00,0.000e+00
cqq1,(2 3 3 2),-1.678e-11,0.000e+00,0.000e+00
cqq1,(3 1 1 3),-1.678e-11,0.000e+00,0.000e+00
cqq1,(3 2 2 3),-1.678e-11,0.000e+00,0.000e+00
cqq1,(3 3 1 1),1.112e-11,0.000e+00,0.000e+00
cqq1,(3 3 2 2),1.112e-11,0.000e+00,0.000e+00
cqq1,(3 3 3 3),-5.657e-12,0.000e+00,0.000e+00
cqq3,(1 1 1 1),-1.678e-11,0.000e+00,0.000e+00
cqq3,(1 2 2 1),-1.678e-11,0.000e+00,0.000e+00
cqq3,(1 3 3 1),-1.678e-11,0.000e+00,0.000e+00
cqq3,(2 1 1 2),-1.678e-11,0.000e+00,0.000e+00
cqq3,(2 2 2 2),-1.678e-11,0.000e+00,0.000e+00
cqq3,(2 3 3 2),-1.678e-11,0.000e+00,0.000e+00
cqq3,(3 1 1 3),-1.678e-11,0.000e+00,0.000e+00
cqq3,(3 2 2 3),-1.678e-11,0.000e+00,0.000e+00
cqq3,(3 3 3 3),-1.678e-11,0.000e+00,0.000e+00
cqu1,(1 1 1 1),-5.141e-13,0.000e+00,0.000e+00
cqu1,(1 1 2 2),-5.141e-13,0.000e+00,0.000e+00
cqu1,(1 1 3 3),-5.141e-13,3.912e-12,0.000e+00
cqu1,(2 2 1 1),-5.141e-13,0.000e+00,0.000e+00
cqu1,(2 2 2 2),-5.141e-13,0.000e+00,0.000e+00
cqu1,(2 2 3 3),-5.141e-13,3.912e-12,0.000e+00
cqu1,(3 3 1 1),-5.141e-13,0.000e+00,0.000e+00
cqu1,(3 3 2 2),-5.141e-13,0.000e+00,0.000e+00
cqu1,(3 3 3 3),-5.141e-13,3.912e-12,0.000e+00
cqu8,(1 1 1 1),-1.342e-10,0.000e+00,0.000e+00
cqu8,(1 1 2 2),-1.342e-10,0.000e+00,0.000e+00
cqu8,(1 1 3 3),-1.342e-10,3.097e-10,0.000e+00
cqu8,(2 2 1 1),-1.342e-10,0.000e+00,0.000e+00
cqu8,(2 2 2 2),-1.342e-10,0.000e+00,0.000e+00
cqu8,(2 2 3 3),-1.342e-10,3.097e-10,0.000e+00
cqu8,(3 3 1 1),-1.342e-10,0.000e+00,0.000e+00
cqu8,(3 3 2 2),-1.342e-10,0.000e+00,0.000e+00
cqu8,(3 3 3 3),-1.342e-10,3.097e-10,0.000e+00
cuB,(3 3),-0.000e+00,-3.376e-11,0.000e+00
cud1,(1 1 1 1),1.028e-12,0.000e+00,0.000e+00
cud1,(1 1 2 2),1.028e-12,0.000e+00,0.000e+00
cud1,(1 1 3 3),1.028e-12,0.000e+00,0.000e+00
cud1,(2 2 1 1),1.028e-12,0.000e+00,0.000e+00
cud1,(2 2 2 2),1.028e-12,0.000e+00,0.000e+00
cud1,(2 2 3 3),1.028e-12,0.000e+00,0.000e+00
cud1,(3 3 1 1),1.028e-12,-7.823e-12,0.000e+00
cud1,(3 3 2 2),1.028e-12,-7.823e-12,0.000e+00
cud1,(3 3 3 3),1.028e-12,-7.823e-12,0.000e+00
cud8,(1 1 1 1),-1.342e-10,0.000e+00,0.000e+00
cud8,(1 1 2 2),-1.342e-10,0.000e+00,0.000e+00
cud8,(1 1 3 3),-1.342e-10,0.000e+00,0.000e+00
cud8,(2 2 1 1),-1.342e-10,0.000e+00,0.000e+00
cud8,(2 2 2 2),-1.342e-10,0.000e+00,0.000e+00
cud8,(2 2 3 3),-1.342e-10,0.000e+00,0.000e+00
cud8,(3 3 1 1),-1.342e-10,3.097e-10,0.000e+00
cud8,(3 3 2 2),-1.342e-10,3.097e-10,0.000e+00
cud8,(3 3 3 3),-1.342e-10,3.097e-10,0.000e+00
cuG,(3 3),-0.000e+00,-1.502e-10,0.000e+00
cuH,(3 3),0.000e+00,2.765e-10,0.000e+00
cuu,(1 1 1 1),-2.340e-11,0.000e+00,0.000e+00
cuu,(1 1 2 2),1.016e-11,0.000e+00,0.000e+00
cuu,(1 1 3 3),1.016e-11,-3.596e-11,0.000e+00
cuu,(1 2 2 1),-3.356e-11,0.000e+00,0.000e+00
cuu,(1 3 3 1),-3.356e-11,0.000e+00,0.000e+00
cuu,(2 1 1 2),-3.356e-11,0.000e+00,0.000e+00
cuu,(2 2 1 1),1.016e-11,0.000e+00,0.000e+00
cuu,(2 2 2 2),-2.340e-11,0.000e+00,0.000e+00
cuu,(2 2 3 3),1.016e-11,-3.596e-11,0.000e+00
cuu,(2 3 3 2),-3.356e-11,0.000e+00,0.000e+00
cuu,(3 1 1 3),-3.356e-11,1.548e-10,0.000e+00
cuu,(3 2 2 3),-3.356e-11,1.548e-10,0.000e+00
cuu,(3 3 1 1),1.016e-11,0.000e+00,0.000e+00
cuu,(3 3 2 2),1.016e-11,0.000e+00,0.000e+00
cuu,(3 3 3 3),-2.340e-11,1.189e-10,-2.922e-10
