# SM parameters:
#  g1 = 3.58e-01, g2 = 6.48e-01, g3 = 1.28e+00, yt = 9.89e-01 , yb = 2.70e-02, yta = 1.02e-02
# UV parameters:
#  mST = 500.00, mChi = 400.00
# The total value for the coefficient is given by C0 + yDM^2*C2 + yDM^4*C4, where yDM is the BSM coupling
Coefficient,Indices,C0 (1/GeV^2),C2 (1/GeV^2),C4 (1/GeV^2)
cqu8,(1 1 1 1),-1.127e-09,0.000e+00,0.000e+00
cqu8,(1 1 2 2),-1.127e-09,0.000e+00,0.000e+00
cqu8,(1 1 3 3),-1.127e-09,1.866e-09,0.000e+00
cqu8,(2 2 1 1),-1.127e-09,0.000e+00,0.000e+00
cqu8,(2 2 2 2),-1.127e-09,0.000e+00,0.000e+00
cqu8,(2 2 3 3),-1.127e-09,1.866e-09,0.000e+00
cqu8,(3 3 1 1),-1.127e-09,0.000e+00,0.000e+00
cqu8,(3 3 2 2),-1.127e-09,0.000e+00,0.000e+00
cqu8,(3 3 3 3),-1.127e-09,1.866e-09,0.000e+00
cuB,(3 3),-0.000e+00,-1.466e-10,0.000e+00
cud1,(1 1 1 1),4.113e-12,0.000e+00,0.000e+00
cud1,(1 1 2 2),4.113e-12,0.000e+00,0.000e+00
cud1,(1 1 3 3),4.113e-12,0.000e+00,0.000e+00
cud1,(2 2 1 1),4.113e-12,0.000e+00,0.000e+00
cud1,(2 2 2 2),4.113e-12,0.000e+00,0.000e+00
cud1,(2 2 3 3),4.113e-12,0.000e+00,0.000e+00
cud1,(3 3 1 1),4.113e-12,-3.255e-11,0.000e+00
cud1,(3 3 2 2),4.113e-12,-3.255e-11,0.000e+00
cud1,(3 3 3 3),4.113e-12,-3.255e-11,0.000e+00
cud8,(1 1 1 1),-1.127e-09,0.000e+00,0.000e+00
cud8,(1 1 2 2),-1.127e-09,0.000e+00,0.000e+00
cud8,(1 1 3 3),-1.127e-09,0.000e+00,0.000e+00
cud8,(2 2 1 1),-1.127e-09,0.000e+00,0.000e+00
cud8,(2 2 2 2),-1.127e-09,0.000e+00,0.000e+00
cud8,(2 2 3 3),-1.127e-09,0.000e+00,0.000e+00
cud8,(3 3 1 1),-1.127e-09,1.866e-09,0.000e+00
cud8,(3 3 2 2),-1.127e-09,1.866e-09,0.000e+00
cud8,(3 3 3 3),-1.127e-09,1.866e-09,0.000e+00
cuG,(3 3),-0.000e+00,-7.849e-10,0.000e+00
cuH,(3 3),0.000e+00,1.201e-09,0.000e+00
cuu,(1 1 1 1),-1.919e-10,0.000e+00,0.000e+00
cuu,(1 1 2 2),8.978e-11,0.000e+00,0.000e+00
cuu,(1 1 3 3),8.978e-11,-2.459e-10,0.000e+00
cuu,(1 2 2 1),-2.817e-10,0.000e+00,0.000e+00
cuu,(1 3 3 1),-2.817e-10,0.000e+00,0.000e+00
cuu,(2 1 1 2),-2.817e-10,0.000e+00,0.000e+00
cuu,(2 2 1 1),8.978e-11,0.000e+00,0.000e+00
cuu,(2 2 2 2),-1.919e-10,0.000e+00,0.000e+00
cuu,(2 2 3 3),8.978e-11,-2.459e-10,0.000e+00
cuu,(2 3 3 2),-2.817e-10,0.000e+00,0.000e+00
cuu,(3 1 1 3),-2.817e-10,9.330e-10,0.000e+00
cuu,(3 2 2 3),-2.817e-10,9.330e-10,0.000e+00
cuu,(3 3 1 1),8.978e-11,0.000e+00,0.000e+00
cuu,(3 3 2 2),8.978e-11,0.000e+00,0.000e+00
cuu,(3 3 3 3),-1.919e-10,6.871e-10,-1.300e-09
