#: table_doi: 10.17182/hepdata.106115.v2/t3
#: name: Signal templates, ADD, Monojet
#: description: Differential signal yields for various signal hypotheses.
#: data_file: signal_templates,_add,_monojet.yaml
#: keyword observables: N
#: keyword reactions: P P --> INVISIBLE JET
#: keyword phrases: ADD | Extra dimensions | Graviton
#: keyword cmenergies: 13000.0
#: d,,,2
#: $M_{D}$ [TeV],,,10
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
265.0,250.0,280.0,2579.7,52.984,-52.984
295.0,280.0,310.0,2162.8,49.997,-49.997
325.0,310.0,340.0,1591.9,41.681,-41.681
355.0,340.0,370.0,1314.8,35.116,-35.116
385.0,370.0,400.0,1085.0,32.518,-32.518
415.0,400.0,430.0,831.7,27.45,-27.45
450.0,430.0,470.0,937.72,29.49,-29.49
490.0,470.0,510.0,734.18,25.358,-25.358
530.0,510.0,550.0,614.04,23.052,-23.052
570.0,550.0,590.0,456.26,20.321,-20.321
615.0,590.0,640.0,487.27,20.535,-20.535
665.0,640.0,690.0,354.96,17.188,-17.188
715.0,690.0,740.0,281.64,15.282,-15.282
765.0,740.0,790.0,226.39,13.907,-13.907
815.0,790.0,840.0,164.95,11.67,-11.67
870.0,840.0,900.0,172.84,12.011,-12.011
930.0,900.0,960.0,136.92,10.83,-10.83
990.0,960.0,1020.0,112.52,9.5559,-9.5559
1055.0,1020.0,1090.0,102.21,9.1433,-9.1433
1125.0,1090.0,1160.0,71.599,7.7138,-7.7138
1205.0,1160.0,1250.0,55.337,6.6829,-6.6829
1325.0,1250.0,1400.0,133.88,10.489,-10.489

#: d,,,5
#: $M_{D}$ [TeV],,,4
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
265.0,250.0,280.0,1877.4,40.166,-40.166
295.0,280.0,310.0,1393.6,33.585,-33.585
325.0,310.0,340.0,1093.4,28.835,-28.835
355.0,340.0,370.0,937.57,28.664,-28.664
385.0,370.0,400.0,723.13,22.601,-22.601
415.0,400.0,430.0,578.08,19.147,-19.147
450.0,430.0,470.0,660.59,21.708,-21.708
490.0,470.0,510.0,477.14,16.605,-16.605
530.0,510.0,550.0,396.37,15.277,-15.277
570.0,550.0,590.0,337.71,13.893,-13.893
615.0,590.0,640.0,315.91,13.486,-13.486
665.0,640.0,690.0,246.25,11.63,-11.63
715.0,690.0,740.0,183.5,9.9574,-9.9574
765.0,740.0,790.0,154.23,9.1302,-9.1302
815.0,790.0,840.0,122.12,7.9866,-7.9866
870.0,840.0,900.0,105.51,7.4161,-7.4161
930.0,900.0,960.0,79.736,6.4537,-6.4537
990.0,960.0,1020.0,73.737,6.2244,-6.2244
1055.0,1020.0,1090.0,61.127,5.6046,-5.6046
1125.0,1090.0,1160.0,54.559,5.2773,-5.2773
1205.0,1160.0,1250.0,44.143,4.7535,-4.7535
1325.0,1250.0,1400.0,88.576,6.7936,-6.7936

#: d,,,6
#: $M_{D}$ [TeV],,,4
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
265.0,250.0,280.0,1349.3,31.283,-31.283
295.0,280.0,310.0,1024.3,30.522,-30.522
325.0,310.0,340.0,871.21,24.416,-24.416
355.0,340.0,370.0,662.34,21.175,-21.175
385.0,370.0,400.0,513.36,17.365,-17.365
415.0,400.0,430.0,414.39,14.188,-14.188
450.0,430.0,470.0,448.77,15.056,-15.056
490.0,470.0,510.0,365.63,14.321,-14.321
530.0,510.0,550.0,272.8,10.881,-10.881
570.0,550.0,590.0,232.26,10.409,-10.409
615.0,590.0,640.0,211.17,9.2083,-9.2083
665.0,640.0,690.0,168.15,8.2976,-8.2976
715.0,690.0,740.0,153.52,7.7075,-7.7075
765.0,740.0,790.0,116.26,7.0983,-7.0983
815.0,790.0,840.0,87.542,5.7467,-5.7467
870.0,840.0,900.0,76.471,5.2869,-5.2869
930.0,900.0,960.0,68.901,5.0815,-5.0815
990.0,960.0,1020.0,40.441,3.8978,-3.8978
1055.0,1020.0,1090.0,46.218,4.1475,-4.1475
1125.0,1090.0,1160.0,29.383,3.2362,-3.2362
1205.0,1160.0,1250.0,27.81,3.1761,-3.1761
1325.0,1250.0,1400.0,53.929,4.3688,-4.3688

#: d,,,2
#: $M_{D}$ [TeV],,,5
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
265.0,250.0,280.0,4474.6,92.973,-92.973
295.0,280.0,310.0,3481.5,82.237,-82.237
325.0,310.0,340.0,2704.3,69.537,-69.537
355.0,340.0,370.0,1866.1,56.157,-56.157
385.0,370.0,400.0,1731.2,54.862,-54.862
415.0,400.0,430.0,1242.5,47.403,-47.403
450.0,430.0,470.0,1347.5,47.249,-47.249
490.0,470.0,510.0,1088.9,46.336,-46.336
530.0,510.0,550.0,886.3,38.15,-38.15
