#: table_doi: 10.17182/hepdata.106115.v2/t11
#: name: Yields (Monojet)
#: description: Background and data yields in the control and signal region bins. The prediction before ("prefit") and after the background only fit ("b-only") are given separately.
#: data_file: yields_(monojet).yaml
#: keyword cmenergies: 13000.0
#: Data set year,,,2017
#: Category,,,Monojet
#: Region,,,Single muon
#: Fit,,,B-only
#: Process,,,Data
Recoil [GeV],Recoil [GeV] LOW,Recoil [GeV] HIGH,Yield
990.0,960.0,1020.0,2.7807,1.0701,-1.0701
1055.0,1020.0,1090.0,0.016075,0.0040825,-0.0040825
1125.0,1090.0,1160.0,0.00025622,2.5037e-05,-2.5037e-05
1205.0,1160.0,1250.0,0.91879,0.34324,-0.34324
1325.0,1250.0,1400.0,0.81829,0.16361,-0.16361

#: Data set year,,,2017
#: Category,,,Monojet
#: Region,,,Single muon
#: Fit,,,B-only
#: Process,,,WZ
Recoil [GeV],Recoil [GeV] LOW,Recoil [GeV] HIGH,Yield,Total +,Total -
265.0,250.0,280.0,273.97,30.141,-30.141
295.0,280.0,310.0,167.69,18.58,-18.58
325.0,310.0,340.0,116.58,12.907,-12.907
355.0,340.0,370.0,71.813,8.0541,-8.0541
385.0,370.0,400.0,55.948,6.3315,-6.3315
415.0,400.0,430.0,34.438,3.9013,-3.9013
450.0,430.0,470.0,35.242,3.9905,-3.9905
490.0,470.0,510.0,15.183,1.79,-1.79
530.0,510.0,550.0,15.462,1.96,-1.96
570.0,550.0,590.0,11.322,1.5123,-1.5123
615.0,590.0,640.0,11.927,1.6092,-1.6092
665.0,640.0,690.0,8.4117,1.1943,-1.1943
715.0,690.0,740.0,4.4193,0.66691,-0.66691
765.0,740.0,790.0,5.3961,0.89488,-0.89488
815.0,790.0,840.0,1.2407,0.23616,-0.23616
870.0,840.0,900.0,2.4022,0.52323,-0.52323
930.0,900.0,960.0,0.66379,0.15116,-0.15116
990.0,960.0,1020.0,0.5063,0.20423,-0.20423
1055.0,1020.0,1090.0,0.02537,0.0069184,-0.0069184
1125.0,1090.0,1160.0,1.1768,0.41967,-0.41967
1205.0,1160.0,1250.0,7.5133e-05,8.1204e-06,-8.1204e-06
1325.0,1250.0,1400.0,0.99191,0.2005,-0.2005

#: Data set year,,,2017
#: Category,,,Monojet
#: Region,,,Single muon
#: Fit,,,B-only
#: Process,,,Z($\ell\ell$)+jets
Recoil [GeV],Recoil [GeV] LOW,Recoil [GeV] HIGH,Yield,Total +,Total -
265.0,250.0,280.0,3914.7,797.47,-797.47
295.0,280.0,310.0,2055.8,426.07,-426.07
325.0,310.0,340.0,1147.4,236.8,-236.8
355.0,340.0,370.0,626.51,129.75,-129.75
385.0,370.0,400.0,372.07,78.377,-78.377
415.0,400.0,430.0,212.63,45.802,-45.802
450.0,430.0,470.0,168.69,35.779,-35.779
490.0,470.0,510.0,94.024,19.717,-19.717
530.0,510.0,550.0,50.404,11.312,-11.312
570.0,550.0,590.0,32.662,7.1594,-7.1594
615.0,590.0,640.0,22.523,5.1436,-5.1436
665.0,640.0,690.0,14.755,3.6017,-3.6017
715.0,690.0,740.0,8.113,1.8851,-1.8851
765.0,740.0,790.0,5.489,1.3384,-1.3384
815.0,790.0,840.0,3.7648,1.0596,-1.0596
870.0,840.0,900.0,2.7333,0.75731,-0.75731
930.0,900.0,960.0,1.6689,0.54201,-0.54201
990.0,960.0,1020.0,0.82132,0.39328,-0.39328
1055.0,1020.0,1090.0,0.84301,0.26611,-0.26611
1125.0,1090.0,1160.0,0.54283,0.23013,-0.23013
1205.0,1160.0,1250.0,0.48729,0.20319,-0.20319
1325.0,1250.0,1400.0,0.67724,0.19616,-0.19616

#: Data set year,,,2017
#: Category,,,Monojet
#: Region,,,Single muon
#: Fit,,,B-only
#: Process,,,ZZ
Recoil [GeV],Recoil [GeV] LOW,Recoil [GeV] HIGH,Yield,Total +,Total -
265.0,250.0,280.0,15.071,1.6478,-1.6478
295.0,280.0,310.0,9.0864,1.0073,-1.0073
325.0,310.0,340.0,4.8186,0.53004,-0.53004
355.0,340.0,370.0,0.49187,0.057689,-0.057689
385.0,370.0,400.0,3.0255,0.38403,-0.38403
415.0,400.0,430.0,0.8784,0.11111,-0.11111
450.0,430.0,470.0,0.2367,0.029924,-0.029924
490.0,470.0,510.0,1.5767,0.21188,-0.21188
530.0,510.0,550.0,0.58967,0.091352,-0.091352
570.0,550.0,590.0,0.37116,0.056382,-0.056382
615.0,590.0,640.0,0.21542,0.037847,-0.037847
665.0,640.0,690.0,0.74917,0.12723,-0.12723
715.0,690.0,740.0,1.8555e-06,2.0648e-07,-2.0648e-07
765.0,740.0,790.0,1.8555e-06,2.0648e-07,-2.0648e-07
815.0,790.0,840.0,1.8555e-06,2.0648e-07,-2.0648e-07
870.0,840.0,900.0,2.2266e-06,2.4778e-07,-2.4778e-07
930.0,900.0,960.0,2.2266e-06,2.4778e-07,-2.4778e-07
990.0,960.0,1020.0,2.2266e-06,2.4778e-07,-2.4778e-07
1055.0,1020.0,1090.0,2.5977e-06,2.8907e-07,-2.8907e-07
1125.0,1090.0,1160.0,2.5977e-06,2.8907e-07,-2.8907e-07
1205.0,1160.0,1250.0,3.3399e-06,3.7166e-07,-3.7166e-07
1325.0,1250.0,1400.0,5.5665e-06,6.1944e-07,-6.1944e-07

#: Data set year,,,2017
#: Category,,,Monojet
#: Region,,,Single muon
#: Fit,,,B-only
#: Process,,,Total SM
Recoil [GeV],Recoil [GeV] LOW,Recoil [GeV] HIGH,Yield,Total +,Total -
265.0,250.0,280.0,117240.0,428.67,-428.67
295.0,280.0,310.0,68169.0,263.33,-263.33
325.0,310.0,340.0,41021.0,168.52,-168.52
355.0,340.0,370.0,25580.0,136.8,-136.8
385.0,370.0,400.0,16488.0,99.95,-99.95
415.0,400.0,430.0,10888.0,83.268,-83.268
450.0,430.0,470.0,9291.2,68.626,-68.626
490.0,470.0,510.0,5768.8,51.606,-51.606
530.0,510.0,550.0,3565.8,40.631,-40.631
570.0,550.0,590.0,2405.3,27.235,-27.235
615.0,590.0,640.0,1885.0,29.211,-29.211
665.0,640.0,690.0,1152.9,18.938,-18.938
715.0,690.0,740.0,716.83,14.541,-14.541
765.0,740.0,790.0,480.5,12.967,-12.967
815.0,790.0,840.0,306.01,10.928,-10.928
870.0,840.0,900.0,244.06,9.0927,-9.0927
930.0,900.0,960.0,151.1,6.4002,-6.4002
990.0,960.0,1020.0,90.92,5.0654,-5.0654
1055.0,1020.0,1090.0,75.065,4.4387,-4.4387
1125.0,1090.0,1160.0,39.18,3.4147,-3.4147
1205.0,1160.0,1250.0,34.763,3.3672,-3.3672
1325.0,1250.0,1400.0,50.467,3.7783,-3.7783

#: Data set year,,,2017
#: Category,,,Monojet
#: Region,,,Single muon
#: Fit,,,Prefit
#: Process,,,Data
Recoil [GeV],Recoil [GeV] LOW,Recoil [GeV] HIGH,Yield
265.0,250.0,280.0,117100.0
295.0,280.0,310.0,67932.0
325.0,310.0,340.0,41157.0
355.0,340.0,370.0,25640.0
385.0,370.0,400.0,16653.0
415.0,400.0,430.0,10808.0
450.0,430.0,470.0,9347.0
490.0,470.0,510.0,5852.0
530.0,510.0,550.0,3514.0
570.0,550.0,590.0,2436.0
615.0,590.0,640.0,1893.0
665.0,640.0,690.0,1200.0
715.0,690.0,740.0,735.0
765.0,740.0,790.0,495.0
815.0,790.0,840.0,323.0
870.0,840.0,900.0,254.0
930.0,900.0,960.0,156.0
990.0,960.0,1020.0,82.0
1055.0,1020.0,1090.0,86.0
1125.0,1090.0,1160.0,41.0
1205.0,1160.0,1250.0,33.0
1325.0,1250.0,1400.0,50.0

#: Data set year,,,2017
#: Category,,,Monojet
#: Region,,,Single muon
#: Fit,,,Prefit
#: Process,,,QCD multijet
Recoil [GeV],Recoil [GeV] LOW,Recoil [GeV] HIGH,Yield,Total +,Total -
265.0,250.0,280.0,3626.8,2655.1,-2655.1
295.0,280.0,310.0,2030.5,1504.0,-1504.0
325.0,310.0,340.0,1049.3,781.1,-781.1
355.0,340.0,370.0,646.99,490.61,-490.61
385.0,370.0,400.0,399.67,290.61,-290.61
415.0,400.0,430.0,277.55,200.7,-200.7
450.0,430.0,470.0,203.18,151.56,-151.56
490.0,470.0,510.0,94.824,70.306,-70.306
530.0,510.0,550.0,63.453,46.588,-46.588
570.0,550.0,590.0,48.118,36.944,-36.944
615.0,590.0,640.0,46.168,33.736,-33.736
665.0,640.0,690.0,17.78,13.303,-13.303
715.0,690.0,740.0,14.567,10.67,-10.67
765.0,740.0,790.0,14.689,11.657,-11.657
815.0,790.0,840.0,6.2535,5.1097,-5.1097
870.0,840.0,900.0,4.4411,3.6107,-3.6107
930.0,900.0,960.0,3.0409,2.3329,-2.3329
990.0,960.0,1020.0,1.5902,1.3522,-1.3522
1055.0,1020.0,1090.0,1.7164,1.5288,-1.5288
1125.0,1090.0,1160.0,0.78407,0.68713,-0.68713
1205.0,1160.0,1250.0,0.92767,0.90615,-0.90615
1325.0,1250.0,1400.0,1.6228,1.3112,-1.3112

#: Data set year,,,2017
#: Category,,,Monojet
#: Region,,,Single muon
#: Fit,,,Prefit
#: Process,,,Top
Recoil [GeV],Recoil [GeV] LOW,Recoil [GeV] HIGH,Yield,Total +,Total -
265.0,250.0,280.0,5444.0,867.18,-867.18
295.0,280.0,310.0,3226.6,513.09,-513.09
325.0,310.0,340.0,1857.2,303.58,-303.58
355.0,340.0,370.0,1122.1,179.68,-179.68
385.0,370.0,400.0,729.14,115.76,-115.76
415.0,400.0,430.0,414.05,66.475,-66.475
450.0,430.0,470.0,364.09,60.268,-60.268
490.0,470.0,510.0,233.51,39.359,-39.359
530.0,510.0,550.0,119.6,21.231,-21.231
570.0,550.0,590.0,73.126,12.829,-12.829
615.0,590.0,640.0,52.169,9.8028,-9.8028
665.0,640.0,690.0,37.17,7.1918,-7.1918
715.0,690.0,740.0,25.739,5.2437,-5.2437
765.0,740.0,790.0,16.548,3.494,-3.494
815.0,790.0,840.0,7.057,1.6875,-1.6875
870.0,840.0,900.0,6.7145,1.8574,-1.8574
930.0,900.0,960.0,5.2903,1.3928,-1.3928
990.0,960.0,1020.0,0.96005,0.35295,-0.35295
1055.0,1020.0,1090.0,3.062,1.016,-1.016
1125.0,1090.0,1160.0,2.6062,1.1918,-1.1918
1205.0,1160.0,1250.0,1.2299,0.48373,-0.48373
1325.0,1250.0,1400.0,6.2082,1.5299,-1.5299

#: Data set year,,,2017
#: Category,,,Monojet
#: Region,,,Single muon
#: Fit,,,Prefit
#: Process,,,W($\ell
u$)+jets
Recoil [GeV],Recoil [GeV] LOW,Recoil [GeV] HIGH,Yield,Total +,Total -
265.0,250.0,280.0,103960.0,2988.6,-2988.6
295.0,280.0,310.0,60740.0,1745.0,-1745.0
325.0,310.0,340.0,36590.0,1039.4,-1039.4
355.0,340.0,370.0,22967.0,649.27,-649.27
385.0,370.0,400.0,14863.0,414.19,-414.19
415.0,400.0,430.0,9876.8,256.08,-256.08
450.0,430.0,470.0,8460.2,221.38,-221.38
490.0,470.0,510.0,5228.4,137.45,-137.45
530.0,510.0,550.0,3306.5,90.169,-90.169
570.0,550.0,590.0,2151.3,61.913,-61.913
615.0,590.0,640.0,1691.7,49.514,-49.514
665.0,640.0,690.0,1038.3,31.773,-31.773
715.0,690.0,740.0,651.61,21.935,-21.935
765.0,740.0,790.0,418.65,15.735,-15.735
815.0,790.0,840.0,274.34,11.667,-11.667
870.0,840.0,900.0,209.21,8.7099,-8.7099
930.0,900.0,960.0,131.93,6.2931,-6.2931
990.0,960.0,1020.0,83.996,4.3891,-4.3891
1055.0,1020.0,1090.0,60.431,3.3246,-3.3246
1125.0,1090.0,1160.0,37.576,2.3892,-2.3892
1205.0,1160.0,1250.0,27.804,2.093,-2.093
1325.0,1250.0,1400.0,38.548,2.7429,-2.7429

#: Data set year,,,2017
#: Category,,,Monojet
#: Region,,,Single muon
#: Fit,,,Prefit
#: Process,,,WW
Recoil [GeV],Recoil [GeV] LOW,Recoil [GeV] HIGH,Yield,Total +,Total -
265.0,250.0,280.0,1254.6,158.11,-158.11
295.0,280.0,310.0,756.07,92.46,-92.46
325.0,310.0,340.0,456.82,54.734,-54.734
355.0,340.0,370.0,286.48,34.532,-34.532
385.0,370.0,400.0,209.8,24.676,-24.676
415.0,400.0,430.0,136.57,16.021,-16.021
450.0,430.0,470.0,123.1,15.031,-15.031
490.0,470.0,510.0,96.313,11.788,-11.788
530.0,510.0,550.0,68.515,9.503,-9.503
