#: table_doi: 10.17182/hepdata.106115.v2/t18
#: name: Cut flow for Monojet, Fermion portal
#: description: Unweighted signal acceptance times efficiency at every cut stage. The requirements called "HCAL mitigation" refer to the requirements imposed in the 2018 data set in order to mitigate the localized failure of the HCAL detector.
#: data_file: cut_flow_for_monojet,_fermion_portal.yaml
#: keyword reactions: P P --> INVISIBLE JET
#: keyword phrases: Dark matter | DM | DMsimp | Simplified model
#: keyword cmenergies: 13000.0
$p_{T}^{miss}$ quality filters,0.64939
Electron veto,0.64746
Muon veto,0.64567
Tau veto,0.63121
B jet veto,0.63121
Photon veto,0.62133
"$\Delta\phi(jet,p_{T}^{miss}) > 0.5$ rad",0.55925
$\Delta p_{T}^{miss}$ (PF-Calorimeter) $< 0.5$ rad,0.55861
Leading AK4 jet $p_{T} > 100$ GeV,0.55277
Leading AK4 jet $\eta < 2.4$,0.55277
Leading AK4 jet energy fractions,0.54942
Mono-V overlap removal,0.52254
HCAL mitigation (jets),0.52254
HCAL mitigation ($\phi^{miss}$),0.52254
"$\Delta\phi(\mathrm{PF},\mathrm{Charged}) < 2.0$ rad",0.52231

#: $m_{\Phi}$ [GeV],1800.0
#: $m_{\chi}$ [GeV],1.0
#: $\lambda$,1.0
#: Mode,$\chi\chi+j$
#: Data-taking period,2018
Cut stage,Fraction of passing events
Full sample,1.0
Trigger emulation,0.98727
$p_{T}^{miss} > 250$ GeV,0.95136
$p_{T}^{miss}$ quality filters,0.94169
Electron veto,0.93593
Muon veto,0.93337
Tau veto,0.90129
B jet veto,0.90129
Photon veto,0.87004
"$\Delta\phi(jet,p_{T}^{miss}) > 0.5$ rad",0.6455
$\Delta p_{T}^{miss}$ (PF-Calorimeter) $< 0.5$ rad,0.6452
Leading AK4 jet $p_{T} > 100$ GeV,0.64406
Leading AK4 jet $\eta < 2.4$,0.64406
Leading AK4 jet energy fractions,0.64049
Mono-V overlap removal,0.61716
HCAL mitigation (jets),0.57951
HCAL mitigation ($\phi^{miss}$),0.5701
"$\Delta\phi(\mathrm{PF},\mathrm{Charged}) < 2.0$ rad",0.56806

#: $m_{\Phi}$ [GeV],1400.0
#: $m_{\chi}$ [GeV],1.0
#: $\lambda$,1.0
#: Mode,$\chi\chi+j$
#: Data-taking period,2018
Cut stage,Fraction of passing events
Full sample,1.0
Trigger emulation,0.97933
$p_{T}^{miss} > 250$ GeV,0.92475
$p_{T}^{miss}$ quality filters,0.91721
Electron veto,0.91134
Muon veto,0.90886
Tau veto,0.87931
B jet veto,0.87931
Photon veto,0.85081
"$\Delta\phi(jet,p_{T}^{miss}) > 0.5$ rad",0.63885
$\Delta p_{T}^{miss}$ (PF-Calorimeter) $< 0.5$ rad,0.63861
Leading AK4 jet $p_{T} > 100$ GeV,0.63708
Leading AK4 jet $\eta < 2.4$,0.63708
Leading AK4 jet energy fractions,0.63415
Mono-V overlap removal,0.60776
HCAL mitigation (jets),0.56859
HCAL mitigation ($\phi^{miss}$),0.55386
"$\Delta\phi(\mathrm{PF},\mathrm{Charged}) < 2.0$ rad",0.55236

#: $m_{\Phi}$ [GeV],1400.0
#: $m_{\chi}$ [GeV],200.0
#: $\lambda$,1.0
#: Mode,$\chi\chi+j$
#: Data-taking period,2017
Cut stage,Fraction of passing events
Full sample,1.0
Trigger emulation,0.98015
$p_{T}^{miss} > 250$ GeV,0.92408
$p_{T}^{miss}$ quality filters,0.91589
Electron veto,0.90961
Muon veto,0.90677
Tau veto,0.87658
B jet veto,0.87658
Photon veto,0.84887
"$\Delta\phi(jet,p_{T}^{miss}) > 0.5$ rad",0.65349
$\Delta p_{T}^{miss}$ (PF-Calorimeter) $< 0.5$ rad,0.65311
Leading AK4 jet $p_{T} > 100$ GeV,0.65137
Leading AK4 jet $\eta < 2.4$,0.65137
Leading AK4 jet energy fractions,0.64858
Mono-V overlap removal,0.6214
HCAL mitigation (jets),0.6214
HCAL mitigation ($\phi^{miss}$),0.6214
"$\Delta\phi(\mathrm{PF},\mathrm{Charged}) < 2.0$ rad",0.61975

#: $m_{\Phi}$ [GeV],1400.0
#: $m_{\chi}$ [GeV],1.0
#: $\lambda$,1.0
#: Mode,$\Phi\Phi\rightarrow \chi\chi j j$
#: Data-taking period,2018
Cut stage,Fraction of passing events
Full sample,1.0
Trigger emulation,0.84539
$p_{T}^{miss} > 250$ GeV,0.69336
$p_{T}^{miss}$ quality filters,0.69071
Electron veto,0.68863
Muon veto,0.68695
Tau veto,0.67034
B jet veto,0.67034
Photon veto,0.65902
"$\Delta\phi(jet,p_{T}^{miss}) > 0.5$ rad",0.54868
$\Delta p_{T}^{miss}$ (PF-Calorimeter) $< 0.5$ rad,0.54834
Leading AK4 jet $p_{T} > 100$ GeV,0.54163
Leading AK4 jet $\eta < 2.4$,0.54163
Leading AK4 jet energy fractions,0.53943
Mono-V overlap removal,0.51076
HCAL mitigation (jets),0.48628
HCAL mitigation ($\phi^{miss}$),0.45998
"$\Delta\phi(\mathrm{PF},\mathrm{Charged}) < 2.0$ rad",0.45968

#: $m_{\Phi}$ [GeV],1800.0
#: $m_{\chi}$ [GeV],200.0
#: $\lambda$,1.0
#: Mode,$\Phi\Phi\rightarrow \chi\chi j j$
#: Data-taking period,2018
Cut stage,Fraction of passing events
Full sample,1.0
Trigger emulation,0.80703
$p_{T}^{miss} > 250$ GeV,0.61163
$p_{T}^{miss}$ quality filters,0.60911
Electron veto,0.6072
Muon veto,0.60554
Tau veto,0.59038
B jet veto,0.59038
Photon veto,0.58027
"$\Delta\phi(jet,p_{T}^{miss}) > 0.5$ rad",0.49263
$\Delta p_{T}^{miss}$ (PF-Calorimeter) $< 0.5$ rad,0.49214
Leading AK4 jet $p_{T} > 100$ GeV,0.48551
Leading AK4 jet $\eta < 2.4$,0.48551
Leading AK4 jet energy fractions,0.48352
Mono-V overlap removal,0.4589
HCAL mitigation (jets),0.43755
HCAL mitigation ($\phi^{miss}$),0.41322
"$\Delta\phi(\mathrm{PF},\mathrm{Charged}) < 2.0$ rad",0.413

#: $m_{\Phi}$ [GeV],1000.0
#: $m_{\chi}$ [GeV],1.0
#: $\lambda$,1.0
#: Mode,$\Phi\Phi\rightarrow \chi\chi j j$
#: Data-taking period,2017
Cut stage,Fraction of passing events
Full sample,1.0
Trigger emulation,0.882
$p_{T}^{miss} > 250$ GeV,0.70494
$p_{T}^{miss}$ quality filters,0.70299
Electron veto,0.70052
Muon veto,0.69842
Tau veto,0.68169
B jet veto,0.68169
Photon veto,0.67179
"$\Delta\phi(jet,p_{T}^{miss}) > 0.5$ rad",0.56993
$\Delta p_{T}^{miss}$ (PF-Calorimeter) $< 0.5$ rad,0.56914
Leading AK4 jet $p_{T} > 100$ GeV,0.56052
Leading AK4 jet $\eta < 2.4$,0.56052
Leading AK4 jet energy fractions,0.55786
Mono-V overlap removal,0.52431
HCAL mitigation (jets),0.52431
HCAL mitigation ($\phi^{miss}$),0.52431
"$\Delta\phi(\mathrm{PF},\mathrm{Charged}) < 2.0$ rad",0.52388

#: $m_{\Phi}$ [GeV],1400.0
#: $m_{\chi}$ [GeV],500.0
#: $\lambda$,1.0
#: Mode,$\Phi\Phi\rightarrow \chi\chi j j$
#: Data-taking period,2017
Cut stage,Fraction of passing events
Full sample,1.0
Trigger emulation,0.9109
$p_{T}^{miss} > 250$ GeV,0.77601
$p_{T}^{miss}$ quality filters,0.7728
Electron veto,0.77004
Muon veto,0.76803
Tau veto,0.7501
B jet veto,0.7501
Photon veto,0.73819
"$\Delta\phi(jet,p_{T}^{miss}) > 0.5$ rad",0.64281
$\Delta p_{T}^{miss}$ (PF-Calorimeter) $< 0.5$ rad,0.64209
Leading AK4 jet $p_{T} > 100$ GeV,0.63613
Leading AK4 jet $\eta < 2.4$,0.63613
Leading AK4 jet energy fractions,0.63278
Mono-V overlap removal,0.6001
HCAL mitigation (jets),0.6001
HCAL mitigation ($\phi^{miss}$),0.6001
"$\Delta\phi(\mathrm{PF},\mathrm{Charged}) < 2.0$ rad",0.59981

#: $m_{\Phi}$ [GeV],1000.0
#: $m_{\chi}$ [GeV],750.0
#: $\lambda$,1.0
#: Mode,$\chi\chi+j$
#: Data-taking period,2017
Cut stage,Fraction of passing events
Full sample,1.0
Trigger emulation,0.89018
$p_{T}^{miss} > 250$ GeV,0.62133
$p_{T}^{miss}$ quality filters,0.62008
Electron veto,0.6155
Muon veto,0.61372
Tau veto,0.58926
B jet veto,0.58926
Photon veto,0.57564
"$\Delta\phi(jet,p_{T}^{miss}) > 0.5$ rad",0.50075
$\Delta p_{T}^{miss}$ (PF-Calorimeter) $< 0.5$ rad,0.50004
Leading AK4 jet $p_{T} > 100$ GeV,0.49591
Leading AK4 jet $\eta < 2.4$,0.49591
Leading AK4 jet energy fractions,0.49193
Mono-V overlap removal,0.4605
HCAL mitigation (jets),0.4605
HCAL mitigation ($\phi^{miss}$),0.4605
"$\Delta\phi(\mathrm{PF},\mathrm{Charged}) < 2.0$ rad",0.46012

#: $m_{\Phi}$ [GeV],1400.0
#: $m_{\chi}$ [GeV],200.0
#: $\lambda$,1.0
#: Mode,$\chi\chi+j$
#: Data-taking period,2018
Cut stage,Fraction of passing events
Full sample,1.0
Trigger emulation,0.98079
$p_{T}^{miss} > 250$ GeV,0.92489
$p_{T}^{miss}$ quality filters,0.91783
Electron veto,0.91226
Muon veto,0.90956
Tau veto,0.88031
B jet veto,0.88031
Photon veto,0.85146
"$\Delta\phi(jet,p_{T}^{miss}) > 0.5$ rad",0.65768
$\Delta p_{T}^{miss}$ (PF-Calorimeter) $< 0.5$ rad,0.65748
Leading AK4 jet $p_{T} > 100$ GeV,0.65558
Leading AK4 jet $\eta < 2.4$,0.65558
Leading AK4 jet energy fractions,0.65228
Mono-V overlap removal,0.62312
HCAL mitigation (jets),0.58525
HCAL mitigation ($\phi^{miss}$),0.56936
"$\Delta\phi(\mathrm{PF},\mathrm{Charged}) < 2.0$ rad",0.56786

#: $m_{\Phi}$ [GeV],1000.0
#: $m_{\chi}$ [GeV],200.0
#: $\lambda$,1.0
#: Mode,$\Phi\Phi\rightarrow \chi\chi j j$
#: Data-taking period,2018
Cut stage,Fraction of passing events
Full sample,1.0
Trigger emulation,0.88625
$p_{T}^{miss} > 250$ GeV,0.71834
$p_{T}^{miss}$ quality filters,0.71651
Electron veto,0.71441
Muon veto,0.7127
Tau veto,0.69629
B jet veto,0.69629
Photon veto,0.68597
"$\Delta\phi(jet,p_{T}^{miss}) > 0.5$ rad",0.59908
$\Delta p_{T}^{miss}$ (PF-Calorimeter) $< 0.5$ rad,0.59861
Leading AK4 jet $p_{T} > 100$ GeV,0.59131
Leading AK4 jet $\eta < 2.4$,0.59131
Leading AK4 jet energy fractions,0.58855
Mono-V overlap removal,0.55445
HCAL mitigation (jets),0.52924
HCAL mitigation ($\phi^{miss}$),0.48348
"$\Delta\phi(\mathrm{PF},\mathrm{Charged}) < 2.0$ rad",0.4832

#: $m_{\Phi}$ [GeV],500.0
#: $m_{\chi}$ [GeV],400.0
#: $\lambda$,1.0
#: Mode,$\chi\chi+j$
#: Data-taking period,2017
Cut stage,Fraction of passing events
Full sample,1.0
Trigger emulation,0.61464
$p_{T}^{miss} > 250$ GeV,0.1754
$p_{T}^{miss}$ quality filters,0.17515
Electron veto,0.1737
Muon veto,0.17311
Tau veto,0.1596
B jet veto,0.1596
Photon veto,0.15677
"$\Delta\phi(jet,p_{T}^{miss}) > 0.5$ rad",0.1335
$\Delta p_{T}^{miss}$ (PF-Calorimeter) $< 0.5$ rad,0.13217
Leading AK4 jet $p_{T} > 100$ GeV,0.12136
Leading AK4 jet $\eta < 2.4$,0.12136
Leading AK4 jet energy fractions,0.12077
Mono-V overlap removal,0.1139
HCAL mitigation (jets),0.1139
HCAL mitigation ($\phi^{miss}$),0.1139
"$\Delta\phi(\mathrm{PF},\mathrm{Charged}) < 2.0$ rad",0.11382

#: $m_{\Phi}$ [GeV],1400.0
#: $m_{\chi}$ [GeV],200.0
#: $\lambda$,1.0
#: Mode,$\Phi\Phi\rightarrow \chi\chi j j$
#: Data-taking period,2018
Cut stage,Fraction of passing events
Full sample,1.0
Trigger emulation,0.85781
$p_{T}^{miss} > 250$ GeV,0.69697
$p_{T}^{miss}$ quality filters,0.69448
Electron veto,0.69231
Muon veto,0.69046
Tau veto,0.67358
B jet veto,0.67358
Photon veto,0.66227
"$\Delta\phi(jet,p_{T}^{miss}) > 0.5$ rad",0.56182
$\Delta p_{T}^{miss}$ (PF-Calorimeter) $< 0.5$ rad,0.56139
Leading AK4 jet $p_{T} > 100$ GeV,0.55485
Leading AK4 jet $\eta < 2.4$,0.55485
Leading AK4 jet energy fractions,0.55215
Mono-V overlap removal,0.52267
HCAL mitigation (jets),0.49827
HCAL mitigation ($\phi^{miss}$),0.46872
"$\Delta\phi(\mathrm{PF},\mathrm{Charged}) < 2.0$ rad",0.46856

#: $m_{\Phi}$ [GeV],1000.0
#: $m_{\chi}$ [GeV],750.0
#: $\lambda$,1.0
#: Mode,$\Phi\Phi\rightarrow \chi\chi j j$
#: Data-taking period,2017
Cut stage,Fraction of passing events
Full sample,1.0
Trigger emulation,0.83283
$p_{T}^{miss} > 250$ GeV,0.50678
$p_{T}^{miss}$ quality filters,0.50558
Electron veto,0.50357
Muon veto,0.50209
Tau veto,0.48861
B jet veto,0.48861
Photon veto,0.4812
"$\Delta\phi(jet,p_{T}^{miss}) > 0.5$ rad",0.4364
$\Delta p_{T}^{miss}$ (PF-Calorimeter) $< 0.5$ rad,0.43544
Leading AK4 jet $p_{T} > 100$ GeV,0.42891
Leading AK4 jet $\eta < 2.4$,0.42891
Leading AK4 jet energy fractions,0.42591
Mono-V overlap removal,0.40664
HCAL mitigation (jets),0.40664
HCAL mitigation ($\phi^{miss}$),0.40664
"$\Delta\phi(\mathrm{PF},\mathrm{Charged}) < 2.0$ rad",0.40649

#: $m_{\Phi}$ [GeV],1800.0
#: $m_{\chi}$ [GeV],200.0
#: $\lambda$,1.0
#: Mode,$\Phi\Phi\rightarrow \chi\chi j j$
#: Data-taking period,2017
Cut stage,Fraction of passing events
Full sample,1.0
Trigger emulation,0.82011
$p_{T}^{miss} > 250$ GeV,0.60917
$p_{T}^{miss}$ quality filters,0.60639
Electron veto,0.604
Muon veto,0.60248
Tau veto,0.58762
B jet veto,0.58762
Photon veto,0.57732
"$\Delta\phi(jet,p_{T}^{miss}) > 0.5$ rad",0.4879
$\Delta p_{T}^{miss}$ (PF-Calorimeter) $< 0.5$ rad,0.48712
Leading AK4 jet $p_{T} > 100$ GeV,0.47946
Leading AK4 jet $\eta < 2.4$,0.47946
Leading AK4 jet energy fractions,0.47727
Mono-V overlap removal,0.45434
HCAL mitigation (jets),0.45434
HCAL mitigation ($\phi^{miss}$),0.45434
"$\Delta\phi(\mathrm{PF},\mathrm{Charged}) < 2.0$ rad",0.45411

#: $m_{\Phi}$ [GeV],1000.0
#: $m_{\chi}$ [GeV],750.0
#: $\lambda$,1.0
#: Mode,$\Phi\Phi\rightarrow \chi\chi j j$
#: Data-taking period,2018
Cut stage,Fraction of passing events
Full sample,1.0
Trigger emulation,0.82461
$p_{T}^{miss} > 250$ GeV,0.50629
$p_{T}^{miss}$ quality filters,0.50555
Electron veto,0.50358
Muon veto,0.50254
Tau veto,0.48955
B jet veto,0.48955
Photon veto,0.48251
"$\Delta\phi(jet,p_{T}^{miss}) > 0.5$ rad",0.43864
$\Delta p_{T}^{miss}$ (PF-Calorimeter) $< 0.5$ rad,0.43815
Leading AK4 jet $p_{T} > 100$ GeV,0.43237
Leading AK4 jet $\eta < 2.4$,0.43237
Leading AK4 jet energy fractions,0.42925
Mono-V overlap removal,0.40891
HCAL mitigation (jets),0.391
HCAL mitigation ($\phi^{miss}$),0.34358
"$\Delta\phi(\mathrm{PF},\mathrm{Charged}) < 2.0$ rad",0.34347

#: $m_{\Phi}$ [GeV],100.0
#: $m_{\chi}$ [GeV],1.0
