#: table_doi: 10.17182/hepdata.106115.v2/t16
#: name: Simplified likelihood: covariance matrix (Mono-V)
#: description: Matrix of covariance coefficients between signal region bins. The coefficients are obtained from the background-only fit to the control regions, and serve as input to the simplified likelihood reinterpretation scheme.
#: data_file: simplified_likelihood:_covariance_matrix_(mono-v).yaml
#: keyword cmenergies: 13000.0
First Bin,Second Bin,Covariance
monovtau21_2016_bin4,monovloose_2018_bin1,30.72771902
monovtau21_2016_bin4,monovloose_2018_bin2,50.42740081
monovtau21_2016_bin4,monovloose_2018_bin3,39.06082402
monovtau21_2016_bin4,monovloose_2018_bin4,16.17756118
monovtau21_2016_bin4,monovloose_2018_bin5,6.360058059
monovtau21_2016_bin4,monovloose_2018_bin6,2.898619593
monovtau21_2016_bin4,monovtight_2017_bin0,-10.97271864
monovtau21_2016_bin4,monovtight_2017_bin1,3.910077967
monovtau21_2016_bin4,monovtight_2017_bin2,-3.737715723
monovtau21_2016_bin4,monovtight_2017_bin3,5.954044821
monovtau21_2016_bin4,monovtight_2017_bin4,7.061286963
monovtau21_2016_bin4,monovtight_2017_bin5,3.998956928
monovtau21_2016_bin4,monovtight_2017_bin6,1.985140875
monovtau21_2016_bin4,monovtight_2018_bin0,-37.15728866
monovtau21_2016_bin4,monovtight_2018_bin1,45.97154412
monovtau21_2016_bin4,monovtight_2018_bin2,18.91545416
monovtau21_2016_bin4,monovtight_2018_bin3,38.00293931
monovtau21_2016_bin4,monovtight_2018_bin4,14.60180358
monovtau21_2016_bin4,monovtight_2018_bin5,6.6851741
monovtau21_2016_bin4,monovtight_2018_bin6,3.018330723
monovtau21_2016_bin5,monovtau21_2016_bin0,523.1105475
monovtau21_2016_bin5,monovtau21_2016_bin1,348.2676677
monovtau21_2016_bin5,monovtau21_2016_bin2,161.1480716
monovtau21_2016_bin5,monovtau21_2016_bin3,117.6514669
monovtau21_2016_bin5,monovtau21_2016_bin4,50.03862082
monovtau21_2016_bin5,monovtau21_2016_bin5,120.6833925
monovtau21_2016_bin5,monovtau21_2016_bin6,4.047427589
monovtau21_2016_bin5,monovloose_2017_bin0,15.55153488
monovtau21_2016_bin5,monovloose_2017_bin1,15.0269912
monovtau21_2016_bin5,monovloose_2017_bin2,7.797316993
monovtau21_2016_bin5,monovloose_2017_bin3,0.7055909177
monovtau21_2016_bin5,monovloose_2017_bin4,5.548368298
monovtau21_2016_bin5,monovloose_2017_bin5,5.012610805
monovtau21_2016_bin5,monovloose_2017_bin6,-0.9598572641
monovtau21_2016_bin5,monovloose_2018_bin0,60.82410128
monovtau21_2016_bin5,monovloose_2018_bin1,3.560037836
monovtau21_2016_bin5,monovloose_2018_bin2,7.156057162
monovtau21_2016_bin5,monovloose_2018_bin3,8.894201284
monovtau21_2016_bin5,monovloose_2018_bin4,-1.666429896
monovtau21_2016_bin5,monovloose_2018_bin5,-0.8607470548
monovtau21_2016_bin5,monovloose_2018_bin6,1.528763658
monovtau21_2016_bin5,monovtight_2017_bin0,-13.88066951
monovtau21_2016_bin5,monovtight_2017_bin1,-2.597142821
monovtau21_2016_bin5,monovtight_2017_bin2,12.60925184
monovtau21_2016_bin5,monovtight_2017_bin3,-4.414348325
monovtau21_2016_bin5,monovtight_2017_bin4,-0.2503507421
monovtau21_2016_bin5,monovtight_2017_bin5,-1.094878553
monovtau21_2016_bin5,monovtight_2017_bin6,-0.6819941895
monovtau21_2016_bin5,monovtight_2018_bin0,4.9081556
monovtau21_2016_bin5,monovtight_2018_bin1,-6.622250073
monovtau21_2016_bin5,monovtight_2018_bin2,7.192714672
monovtau21_2016_bin5,monovtight_2018_bin3,3.644116101
monovtau21_2016_bin5,monovtight_2018_bin4,0.7895404805
monovtau21_2016_bin5,monovtight_2018_bin5,-0.5276655968
monovtau21_2016_bin5,monovtight_2018_bin6,0.8814151177
monovtau21_2016_bin6,monovtau21_2016_bin0,132.1727324
monovtau21_2016_bin6,monovtau21_2016_bin1,82.47297543
monovtau21_2016_bin6,monovtau21_2016_bin2,47.73533283
monovtau21_2016_bin6,monovtau21_2016_bin3,34.39290571
monovtau21_2016_bin6,monovtau21_2016_bin4,8.380977852
monovtau21_2016_bin6,monovtau21_2016_bin5,4.047427589
monovtau21_2016_bin6,monovtau21_2016_bin6,21.68841577
monovtau21_2016_bin6,monovloose_2017_bin0,-2.938270522
monovtau21_2016_bin6,monovloose_2017_bin1,-17.88377489
monovtau21_2016_bin6,monovloose_2017_bin2,0.6077858508
monovtau21_2016_bin6,monovloose_2017_bin3,-9.229213514
monovtau21_2016_bin6,monovloose_2017_bin4,0.6782062567
monovtau21_2016_bin6,monovloose_2017_bin5,-1.058763031
monovtau21_2016_bin6,monovloose_2017_bin6,0.1361422729
monovtau21_2016_bin6,monovloose_2018_bin0,16.90411003
monovtau21_2016_bin6,monovloose_2018_bin1,20.27550622
monovtau21_2016_bin6,monovloose_2018_bin2,5.757025169
monovtau21_2016_bin6,monovloose_2018_bin3,4.954394516
monovtau21_2016_bin6,monovloose_2018_bin4,1.384091629
monovtau21_2016_bin6,monovloose_2018_bin5,0.09185373043
monovtau21_2016_bin6,monovloose_2018_bin6,-0.4033800928
monovtau21_2016_bin6,monovtight_2017_bin0,-7.199356567
monovtau21_2016_bin6,monovtight_2017_bin1,-2.081616712
monovtau21_2016_bin6,monovtight_2017_bin2,-2.396449801
monovtau21_2016_bin6,monovtight_2017_bin3,0.8874954224
monovtau21_2016_bin6,monovtight_2017_bin4,0.4532810464
monovtau21_2016_bin6,monovtight_2017_bin5,-1.137298003
monovtau21_2016_bin6,monovtight_2017_bin6,-0.2411343582
monovtau21_2016_bin6,monovtight_2018_bin0,8.956467705
monovtau21_2016_bin6,monovtight_2018_bin1,2.802748572
monovtau21_2016_bin6,monovtight_2018_bin2,5.89676148
monovtau21_2016_bin6,monovtight_2018_bin3,2.833206005
monovtau21_2016_bin6,monovtight_2018_bin4,1.731551187
monovtau21_2016_bin6,monovtight_2018_bin5,-0.1676386567
monovtau21_2016_bin6,monovtight_2018_bin6,-0.2051582656
monovloose_2017_bin0,monovtau21_2016_bin0,454.6472336
monovloose_2017_bin0,monovtau21_2016_bin1,438.7209347
monovloose_2017_bin0,monovtau21_2016_bin2,295.4752338
monovloose_2017_bin0,monovtau21_2016_bin3,-103.0313222
monovloose_2017_bin0,monovtau21_2016_bin4,-92.15151646
monovloose_2017_bin0,monovtau21_2016_bin5,15.55153488
monovloose_2017_bin0,monovtau21_2016_bin6,-2.938270522
monovloose_2017_bin0,monovloose_2017_bin0,74447.18558
monovloose_2017_bin0,monovloose_2017_bin1,35087.4394
monovloose_2017_bin0,monovloose_2017_bin2,16239.50004
monovloose_2017_bin0,monovloose_2017_bin3,11054.33722
monovloose_2017_bin0,monovloose_2017_bin4,2773.63205
monovloose_2017_bin0,monovloose_2017_bin5,718.7978938
