#: table_doi: 10.17182/hepdata.106115.v2/t21
#: name: Cut flow for Monojet, DM, spin-0 mediator
#: description: Unweighted signal acceptance times efficiency at every cut stage. The requirements called "HCAL mitigation" refer to the requirements imposed in the 2018 data set in order to mitigate the localized failure of the HCAL detector.
#: data_file: cut_flow_for_monojet,_dm,_spin-0_mediator.yaml
#: keyword reactions: P P --> INVISIBLE JET
#: keyword phrases: Dark matter | DM | DMsimp | Simplified model
#: keyword cmenergies: 13000.0
#: Coupling,Scalar
#: Mode,$\chi\chi+j$
$\Delta p_{T}^{miss}$ (PF-Calorimeter) $< 0.5$ rad,0.24509
Leading AK4 jet $p_{T} > 100$ GeV,0.22484
Leading AK4 jet $\eta < 2.4$,0.22484
Leading AK4 jet energy fractions,0.2237
Mono-V overlap removal,0.21178
HCAL mitigation (jets),0.19916
HCAL mitigation ($\phi^{miss}$),0.16967
"$\Delta\phi(\mathrm{PF},\mathrm{Charged}) < 2.0$ rad",0.16964

#: Coupling,Scalar
#: Mode,$\chi\chi+j$
#: $m_{med}$,500.0
#: $m_{DM}$,50.0
#: $g_{\chi}$,1.0
#: $g_{q}$,1.0
#: Data-taking period,2018
Cut stage,Fraction of passing events
Full sample,1.0
Trigger emulation,0.62692
$p_{T}^{miss} > 250$ GeV,0.25584
$p_{T}^{miss}$ quality filters,0.2556
Electron veto,0.25505
Muon veto,0.25441
Tau veto,0.2484
B jet veto,0.2484
Photon veto,0.24704
"$\Delta\phi(jet,p_{T}^{miss}) > 0.5$ rad",0.23075
$\Delta p_{T}^{miss}$ (PF-Calorimeter) $< 0.5$ rad,0.23019
Leading AK4 jet $p_{T} > 100$ GeV,0.20985
Leading AK4 jet $\eta < 2.4$,0.20985
Leading AK4 jet energy fractions,0.2088
Mono-V overlap removal,0.19779
HCAL mitigation (jets),0.18587
HCAL mitigation ($\phi^{miss}$),0.15843
"$\Delta\phi(\mathrm{PF},\mathrm{Charged}) < 2.0$ rad",0.15842

#: Coupling,Scalar
#: Mode,$\chi\chi$+Z(qq)
#: $m_{med}$,500.0
#: $m_{DM}$,275.0
#: $g_{\chi}$,1.0
#: $g_{q}$,1.0
#: Data-taking period,2018
Cut stage,Fraction of passing events
Full sample,1.0
Trigger emulation,0.76155
$p_{T}^{miss} > 250$ GeV,0.55023
$p_{T}^{miss}$ quality filters,0.5489
Electron veto,0.53721
Muon veto,0.52689
Tau veto,0.50202
B jet veto,0.50202
Photon veto,0.49901
"$\Delta\phi(jet,p_{T}^{miss}) > 0.5$ rad",0.44026
$\Delta p_{T}^{miss}$ (PF-Calorimeter) $< 0.5$ rad,0.44
Leading AK4 jet $p_{T} > 100$ GeV,0.43178
Leading AK4 jet $\eta < 2.4$,0.43178
Leading AK4 jet energy fractions,0.42818
Mono-V overlap removal,0.26201
HCAL mitigation (jets),0.24825
HCAL mitigation ($\phi^{miss}$),0.22296
"$\Delta\phi(\mathrm{PF},\mathrm{Charged}) < 2.0$ rad",0.22281

#: Coupling,Scalar
#: Mode,$\chi\chi$+Z(qq)
#: $m_{med}$,800.0
#: $m_{DM}$,1.0
#: $g_{\chi}$,1.0
#: $g_{q}$,1.0
#: Data-taking period,2018
Cut stage,Fraction of passing events
Full sample,1.0
Trigger emulation,0.76643
$p_{T}^{miss} > 250$ GeV,0.5596
$p_{T}^{miss}$ quality filters,0.55812
Electron veto,0.54656
Muon veto,0.53621
Tau veto,0.51062
B jet veto,0.51062
Photon veto,0.50752
"$\Delta\phi(jet,p_{T}^{miss}) > 0.5$ rad",0.44892
$\Delta p_{T}^{miss}$ (PF-Calorimeter) $< 0.5$ rad,0.44864
Leading AK4 jet $p_{T} > 100$ GeV,0.44039
Leading AK4 jet $\eta < 2.4$,0.44039
Leading AK4 jet energy fractions,0.43674
Mono-V overlap removal,0.26585
HCAL mitigation (jets),0.25164
HCAL mitigation ($\phi^{miss}$),0.22651
"$\Delta\phi(\mathrm{PF},\mathrm{Charged}) < 2.0$ rad",0.22634

#: Coupling,Scalar
#: Mode,$\chi\chi+j$
#: $m_{med}$,450.0
#: $m_{DM}$,1.0
#: $g_{\chi}$,1.0
#: $g_{q}$,1.0
#: Data-taking period,2018
Cut stage,Fraction of passing events
Full sample,1.0
Trigger emulation,0.61155
$p_{T}^{miss} > 250$ GeV,0.23617
$p_{T}^{miss}$ quality filters,0.23595
Electron veto,0.23545
Muon veto,0.23488
Tau veto,0.22925
B jet veto,0.22925
Photon veto,0.22789
"$\Delta\phi(jet,p_{T}^{miss}) > 0.5$ rad",0.21325
$\Delta p_{T}^{miss}$ (PF-Calorimeter) $< 0.5$ rad,0.21267
Leading AK4 jet $p_{T} > 100$ GeV,0.19344
Leading AK4 jet $\eta < 2.4$,0.19344
Leading AK4 jet energy fractions,0.19245
Mono-V overlap removal,0.18236
HCAL mitigation (jets),0.17132
HCAL mitigation ($\phi^{miss}$),0.14527
"$\Delta\phi(\mathrm{PF},\mathrm{Charged}) < 2.0$ rad",0.14525

#: Coupling,Pseudoscalar
#: Mode,$\chi\chi$+Z(qq)
#: $m_{med}$,10.0
#: $m_{DM}$,1.0
#: $g_{\chi}$,1.0
#: $g_{q}$,1.0
#: Data-taking period,2017
Cut stage,Fraction of passing events
Full sample,1.0
Trigger emulation,0.68188
$p_{T}^{miss} > 250$ GeV,0.33009
$p_{T}^{miss}$ quality filters,0.32938
Electron veto,0.32304
Muon veto,0.31694
Tau veto,0.30176
B jet veto,0.30176
Photon veto,0.30014
"$\Delta\phi(jet,p_{T}^{miss}) > 0.5$ rad",0.27039
$\Delta p_{T}^{miss}$ (PF-Calorimeter) $< 0.5$ rad,0.26956
Leading AK4 jet $p_{T} > 100$ GeV,0.26075
Leading AK4 jet $\eta < 2.4$,0.26075
Leading AK4 jet energy fractions,0.25832
Mono-V overlap removal,0.17091
HCAL mitigation (jets),0.17091
HCAL mitigation ($\phi^{miss}$),0.17091
