#: table_doi: 10.17182/hepdata.106115.v2/t4
#: name: Signal templates, LQ, Monojet
#: description: Differential signal yields for various signal hypotheses.
#: data_file: signal_templates,_lq,_monojet.yaml
#: keyword observables: N
#: keyword reactions: P P --> INVISIBLE JET
#: keyword cmenergies: 13000.0
#: $\lambda$,,,0
#: $m_{LQ}$ [GeV],,,1000
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
450.0,430.0,470.0,13.984,0.28548,-0.28548
490.0,470.0,510.0,13.867,0.28508,-0.28508
530.0,510.0,550.0,13.269,0.27904,-0.27904
570.0,550.0,590.0,11.551,0.26036,-0.26036
615.0,590.0,640.0,11.478,0.25911,-0.25911
665.0,640.0,690.0,9.2219,0.23233,-0.23233
715.0,690.0,740.0,7.5242,0.21006,-0.21006
765.0,740.0,790.0,6.3734,0.19442,-0.19442
815.0,790.0,840.0,5.1234,0.17298,-0.17298
870.0,840.0,900.0,5.5349,0.18037,-0.18037
930.0,900.0,960.0,4.3528,0.1603,-0.1603
990.0,960.0,1020.0,3.1631,0.13677,-0.13677
1055.0,1020.0,1090.0,2.0476,0.11024,-0.11024
1125.0,1090.0,1160.0,1.3741,0.089984,-0.089984
1205.0,1160.0,1250.0,1.1774,0.082617,-0.082617
1325.0,1250.0,1400.0,1.2468,0.089896,-0.089896

#: $\lambda$,,,0
#: $m_{LQ}$ [GeV],,,1000
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
265.0,250.0,280.0,19.078,0.5655,-0.5655
295.0,280.0,310.0,22.414,0.61411,-0.61411
325.0,310.0,340.0,25.039,0.64965,-0.64965
355.0,340.0,370.0,27.818,0.68701,-0.68701
385.0,370.0,400.0,31.861,0.73468,-0.73468
415.0,400.0,430.0,35.104,0.77499,-0.77499
450.0,430.0,470.0,47.688,0.89805,-0.89805
490.0,470.0,510.0,45.48,0.87414,-0.87414
530.0,510.0,550.0,42.168,0.8444,-0.8444
570.0,550.0,590.0,34.946,0.76684,-0.76684
615.0,590.0,640.0,34.156,0.76044,-0.76044
665.0,640.0,690.0,25.225,0.6541,-0.6541
715.0,690.0,740.0,18.826,0.56382,-0.56382
765.0,740.0,790.0,14.801,0.50157,-0.50157
815.0,790.0,840.0,10.754,0.42776,-0.42776
870.0,840.0,900.0,10.316,0.42366,-0.42366
930.0,900.0,960.0,7.416,0.35427,-0.35427
990.0,960.0,1020.0,6.1413,0.32744,-0.32744
1055.0,1020.0,1090.0,4.341,0.27683,-0.27683
1125.0,1090.0,1160.0,2.6752,0.21399,-0.21399
1205.0,1160.0,1250.0,1.6925,0.17175,-0.17175
1325.0,1250.0,1400.0,3.4623,0.2488,-0.2488

#: $\lambda$,,,0
#: $m_{LQ}$ [GeV],,,1250
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
265.0,250.0,280.0,0.91893,0.036881,-0.036881
295.0,280.0,310.0,1.0507,0.039231,-0.039231
325.0,310.0,340.0,1.2315,0.042444,-0.042444
355.0,340.0,370.0,1.41,0.04548,-0.04548
385.0,370.0,400.0,1.5419,0.047546,-0.047546
415.0,400.0,430.0,1.7197,0.050489,-0.050489
450.0,430.0,470.0,2.557,0.061456,-0.061456
490.0,470.0,510.0,2.9192,0.065753,-0.065753
530.0,510.0,550.0,3.107,0.067759,-0.067759
570.0,550.0,590.0,3.2203,0.068887,-0.068887
615.0,590.0,640.0,3.8648,0.075723,-0.075723
665.0,640.0,690.0,3.5089,0.072201,-0.072201
715.0,690.0,740.0,2.8286,0.064871,-0.064871
765.0,740.0,790.0,2.2829,0.058174,-0.058174
815.0,790.0,840.0,1.9781,0.054656,-0.054656
870.0,840.0,900.0,1.8481,0.052163,-0.052163
930.0,900.0,960.0,1.3876,0.045821,-0.045821
990.0,960.0,1020.0,1.1592,0.041776,-0.041776
1055.0,1020.0,1090.0,1.0578,0.040361,-0.040361
1125.0,1090.0,1160.0,0.91836,0.03742,-0.03742
1205.0,1160.0,1250.0,0.75677,0.034483,-0.034483
1325.0,1250.0,1400.0,1.1088,0.042177,-0.042177

#: $\lambda$,,,0
#: $m_{LQ}$ [GeV],,,1250
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
265.0,250.0,280.0,3.283,0.12414,-0.12414
295.0,280.0,310.0,3.7231,0.13255,-0.13255
325.0,310.0,340.0,4.5086,0.14588,-0.14588
355.0,340.0,370.0,4.7847,0.1515,-0.1515
385.0,370.0,400.0,5.7195,0.16556,-0.16556
415.0,400.0,430.0,6.3935,0.17535,-0.17535
450.0,430.0,470.0,9.7766,0.21623,-0.21623
490.0,470.0,510.0,10.685,0.22619,-0.22619
530.0,510.0,550.0,11.39,0.23369,-0.23369
570.0,550.0,590.0,11.932,0.239,-0.239
615.0,590.0,640.0,13.436,0.25363,-0.25363
665.0,640.0,690.0,12.019,0.24003,-0.24003
715.0,690.0,740.0,9.7212,0.21604,-0.21604
765.0,740.0,790.0,7.7508,0.19324,-0.19324
815.0,790.0,840.0,6.006,0.16999,-0.16999
870.0,840.0,900.0,5.0676,0.15613,-0.15613
930.0,900.0,960.0,3.662,0.13304,-0.13304
990.0,960.0,1020.0,2.5514,0.11122,-0.11122
1055.0,1020.0,1090.0,2.3284,0.10739,-0.10739
1125.0,1090.0,1160.0,1.7173,0.09144,-0.09144
1205.0,1160.0,1250.0,1.6202,0.088974,-0.088974
1325.0,1250.0,1400.0,2.3236,0.10799,-0.10799

#: $\lambda$,,,0
#: $m_{LQ}$ [GeV],,,1250
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
265.0,250.0,280.0,6.2697,0.23935,-0.23935
295.0,280.0,310.0,7.8749,0.27086,-0.27086
325.0,310.0,340.0,8.709,0.28685,-0.28685
355.0,340.0,370.0,10.115,0.30787,-0.30787
385.0,370.0,400.0,11.305,0.32452,-0.32452
415.0,400.0,430.0,12.442,0.3415,-0.3415
450.0,430.0,470.0,18.774,0.41948,-0.41948
490.0,470.0,510.0,20.303,0.43432,-0.43432
530.0,510.0,550.0,22.141,0.45555,-0.45555
570.0,550.0,590.0,22.434,0.45905,-0.45905
615.0,590.0,640.0,25.62,0.49072,-0.49072
665.0,640.0,690.0,24.052,0.47409,-0.47409
715.0,690.0,740.0,18.167,0.41365,-0.41365
765.0,740.0,790.0,14.646,0.37249,-0.37249
815.0,790.0,840.0,10.846,0.31804,-0.31804
870.0,840.0,900.0,9.3486,0.29622,-0.29622
930.0,900.0,960.0,6.6222,0.25073,-0.25073
990.0,960.0,1020.0,5.1304,0.21953,-0.21953
1055.0,1020.0,1090.0,3.9222,0.19266,-0.19266
1125.0,1090.0,1160.0,3.0325,0.17275,-0.17275
1205.0,1160.0,1250.0,2.3469,0.15161,-0.15161
1325.0,1250.0,1400.0,3.7645,0.19187,-0.19187

#: $\lambda$,,,0
#: $m_{LQ}$ [GeV],,,1500
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
265.0,250.0,280.0,0.72642,0.057347,-0.057347
295.0,280.0,310.0,0.9253,0.065414,-0.065414
325.0,310.0,340.0,0.95475,0.065514,-0.065514
355.0,340.0,370.0,1.082,0.070297,-0.070297
385.0,370.0,400.0,1.2365,0.075127,-0.075127
415.0,400.0,430.0,1.3139,0.077593,-0.077593
450.0,430.0,470.0,2.2809,0.10307,-0.10307
490.0,470.0,510.0,2.3266,0.10261,-0.10261
530.0,510.0,550.0,2.7164,0.11176,-0.11176
570.0,550.0,590.0,3.0425,0.11856,-0.11856
615.0,590.0,640.0,3.9903,0.13572,-0.13572
665.0,640.0,690.0,4.2189,0.13924,-0.13924
715.0,690.0,740.0,4.1148,0.13773,-0.13773
765.0,740.0,790.0,3.9442,0.13443,-0.13443
815.0,790.0,840.0,3.4212,0.12519,-0.12519
870.0,840.0,900.0,3.1291,0.12099,-0.12099
930.0,900.0,960.0,2.2875,0.10198,-0.10198
990.0,960.0,1020.0,1.6032,0.085549,-0.085549
1055.0,1020.0,1090.0,1.3708,0.080137,-0.080137
1125.0,1090.0,1160.0,0.96697,0.06628,-0.06628
1205.0,1160.0,1250.0,0.75678,0.0588,-0.0588
1325.0,1250.0,1400.0,1.7733,0.092536,-0.092536

#: $\lambda$,,,0
#: $m_{LQ}$ [GeV],,,1500
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
265.0,250.0,280.0,1.6254,0.10886,-0.10886
295.0,280.0,310.0,2.0121,0.12301,-0.12301
325.0,310.0,340.0,1.7867,0.11522,-0.11522
355.0,340.0,370.0,2.2064,0.12655,-0.12655
385.0,370.0,400.0,2.5509,0.1372,-0.1372
415.0,400.0,430.0,2.9095,0.14571,-0.14571
450.0,430.0,470.0,3.96,0.1713,-0.1713
490.0,470.0,510.0,4.7212,0.18657,-0.18657
530.0,510.0,550.0,5.3029,0.1984,-0.1984
570.0,550.0,590.0,5.9573,0.20977,-0.20977
615.0,590.0,640.0,7.9563,0.24204,-0.24204
665.0,640.0,690.0,7.8515,0.24189,-0.24189
715.0,690.0,740.0,8.1143,0.24404,-0.24404
765.0,740.0,790.0,7.5844,0.23714,-0.23714
815.0,790.0,840.0,6.1845,0.2147,-0.2147
870.0,840.0,900.0,6.1394,0.2131,-0.2131
930.0,900.0,960.0,4.0746,0.17463,-0.17463
990.0,960.0,1020.0,3.2757,0.15592,-0.15592
1055.0,1020.0,1090.0,2.6035,0.13793,-0.13793
1125.0,1090.0,1160.0,1.9652,0.12158,-0.12158
1205.0,1160.0,1250.0,1.5995,0.10977,-0.10977
1325.0,1250.0,1400.0,2.6417,0.14528,-0.14528

#: $\lambda$,,,1
#: $m_{LQ}$ [GeV],,,1500
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
265.0,250.0,280.0,4.0019,0.23438,-0.23438
295.0,280.0,310.0,4.2339,0.24335,-0.24335
325.0,310.0,340.0,4.5524,0.25477,-0.25477
355.0,340.0,370.0,4.7222,0.2603,-0.2603
385.0,370.0,400.0,5.6981,0.28199,-0.28199
415.0,400.0,430.0,6.2682,0.29586,-0.29586
450.0,430.0,470.0,8.6477,0.34744,-0.34744
490.0,470.0,510.0,10.057,0.3732,-0.3732
530.0,510.0,550.0,11.218,0.39486,-0.39486
570.0,550.0,590.0,11.929,0.40884,-0.40884
615.0,590.0,640.0,16.793,0.48622,-0.48622
665.0,640.0,690.0,16.467,0.48137,-0.48137
715.0,690.0,740.0,16.462,0.47843,-0.47843
765.0,740.0,790.0,14.711,0.45663,-0.45663
815.0,790.0,840.0,13.017,0.42848,-0.42848
870.0,840.0,900.0,11.535,0.40191,-0.40191
930.0,900.0,960.0,8.4484,0.34893,-0.34893
990.0,960.0,1020.0,5.886,0.29204,-0.29204
1055.0,1020.0,1090.0,4.7651,0.26482,-0.26482
1125.0,1090.0,1160.0,4.0959,0.24245,-0.24245
1205.0,1160.0,1250.0,3.1878,0.2194,-0.2194
1325.0,1250.0,1400.0,5.7637,0.30283,-0.30283

#: $\lambda$,,,0
#: $m_{LQ}$ [GeV],,,1750
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
265.0,250.0,280.0,0.53465,0.03663,-0.03663
295.0,280.0,310.0,0.53574,0.036788,-0.036788
325.0,310.0,340.0,0.50489,0.035934,-0.035934
355.0,340.0,370.0,0.71467,0.042094,-0.042094
385.0,370.0,400.0,0.65148,0.040632,-0.040632
415.0,400.0,430.0,0.69786,0.042024,-0.042024
450.0,430.0,470.0,1.1001,0.052474,-0.052474
490.0,470.0,510.0,1.2836,0.056797,-0.056797
530.0,510.0,550.0,1.4559,0.059875,-0.059875
570.0,550.0,590.0,1.5157,0.062281,-0.062281
615.0,590.0,640.0,2.2382,0.075155,-0.075155
665.0,640.0,690.0,2.4537,0.07853,-0.07853
715.0,690.0,740.0,2.5839,0.080339,-0.080339
765.0,740.0,790.0,2.7649,0.083442,-0.083442
815.0,790.0,840.0,2.7019,0.082858,-0.082858
870.0,840.0,900.0,3.0188,0.08719,-0.08719
930.0,900.0,960.0,2.6969,0.082983,-0.082983
990.0,960.0,1020.0,2.0642,0.072603,-0.072603
1055.0,1020.0,1090.0,1.7604,0.067056,-0.067056
1125.0,1090.0,1160.0,1.3117,0.057689,-0.057689
1205.0,1160.0,1250.0,1.0858,0.053068,-0.053068
1325.0,1250.0,1400.0,1.9936,0.074144,-0.074144

#: $\lambda$,,,1
#: $m_{LQ}$ [GeV],,,1750
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
265.0,250.0,280.0,1.2078,0.082675,-0.082675
295.0,280.0,310.0,1.4412,0.090336,-0.090336
325.0,310.0,340.0,1.4918,0.091951,-0.091951
355.0,340.0,370.0,1.4716,0.092092,-0.092092
385.0,370.0,400.0,1.6878,0.09805,-0.09805
415.0,400.0,430.0,1.814,0.10193,-0.10193
450.0,430.0,470.0,2.7643,0.12694,-0.12694
490.0,470.0,510.0,2.6709,0.12354,-0.12354
530.0,510.0,550.0,2.9368,0.12959,-0.12959
570.0,550.0,590.0,3.2052,0.13613,-0.13613
615.0,590.0,640.0,4.4473,0.16194,-0.16194
665.0,640.0,690.0,5.147,0.17086,-0.17086
715.0,690.0,740.0,5.5536,0.1789,-0.1789
765.0,740.0,790.0,5.6314,0.17951,-0.17951
815.0,790.0,840.0,5.704,0.18039,-0.18039
870.0,840.0,900.0,6.1276,0.18809,-0.18809
930.0,900.0,960.0,5.1812,0.1735,-0.1735
990.0,960.0,1020.0,4.226,0.15634,-0.15634
1055.0,1020.0,1090.0,3.5587,0.1454,-0.1454
1125.0,1090.0,1160.0,2.5648,0.12178,-0.12178
1205.0,1160.0,1250.0,2.1422,0.11197,-0.11197
1325.0,1250.0,1400.0,3.8718,0.1573,-0.1573

#: $\lambda$,,,1
#: $m_{LQ}$ [GeV],,,1750
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
265.0,250.0,280.0,2.8952,0.16268,-0.16268
295.0,280.0,310.0,2.7215,0.15868,-0.15868
325.0,310.0,340.0,2.4383,0.15173,-0.15173
355.0,340.0,370.0,2.9135,0.16329,-0.16329
385.0,370.0,400.0,3.0789,0.1687,-0.1687
415.0,400.0,430.0,3.4248,0.17731,-0.17731
450.0,430.0,470.0,4.4193,0.20167,-0.20167
490.0,470.0,510.0,4.486,0.20544,-0.20544
530.0,510.0,550.0,5.2183,0.22135,-0.22135
570.0,550.0,590.0,5.5358,0.22776,-0.22776
615.0,590.0,640.0,7.1935,0.26283,-0.26283
665.0,640.0,690.0,8.4346,0.28233,-0.28233
715.0,690.0,740.0,8.3513,0.27969,-0.27969
765.0,740.0,790.0,8.449,0.28078,-0.28078
815.0,790.0,840.0,8.5501,0.28251,-0.28251
870.0,840.0,900.0,9.3479,0.29772,-0.29772
930.0,900.0,960.0,8.0017,0.27363,-0.27363
990.0,960.0,1020.0,6.6855,0.25273,-0.25273
1055.0,1020.0,1090.0,5.6154,0.23583,-0.23583
1125.0,1090.0,1160.0,3.8863,0.19287,-0.19287
1205.0,1160.0,1250.0,3.4794,0.18858,-0.18858
1325.0,1250.0,1400.0,5.7196,0.26031,-0.26031

#: $\lambda$,,,1
#: $m_{LQ}$ [GeV],,,2000
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
265.0,250.0,280.0,0.54878,0.036348,-0.036348
295.0,280.0,310.0,0.57634,0.036603,-0.036603
325.0,310.0,340.0,0.56715,0.036904,-0.036904
355.0,340.0,370.0,0.61995,0.038884,-0.038884
385.0,370.0,400.0,0.63134,0.038731,-0.038731
415.0,400.0,430.0,0.6243,0.039151,-0.039151
450.0,430.0,470.0,0.90537,0.046601,-0.046601
490.0,470.0,510.0,0.88584,0.045895,-0.045895
530.0,510.0,550.0,0.89321,0.04636,-0.04636
570.0,550.0,590.0,1.0854,0.051134,-0.051134
615.0,590.0,640.0,1.3488,0.057211,-0.057211
665.0,640.0,690.0,1.4999,0.061347,-0.061347
715.0,690.0,740.0,1.7702,0.06634,-0.06634
765.0,740.0,790.0,1.9113,0.068498,-0.068498
815.0,790.0,840.0,2.0461,0.070045,-0.070045
870.0,840.0,900.0,2.3799,0.076161,-0.076161
930.0,900.0,960.0,2.495,0.077669,-0.077669
990.0,960.0,1020.0,2.1538,0.07343,-0.07343
1055.0,1020.0,1090.0,2.3239,0.07559,-0.07559
1125.0,1090.0,1160.0,1.721,0.064911,-0.064911
1205.0,1160.0,1250.0,1.6295,0.0633,-0.0633
1325.0,1250.0,1400.0,2.8143,0.086862,-0.086862

#: $\lambda$,,,1
#: $m_{LQ}$ [GeV],,,2000
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
265.0,250.0,280.0,1.1565,0.069439,-0.069439
295.0,280.0,310.0,1.1257,0.068759,-0.068759
325.0,310.0,340.0,1.1859,0.070745,-0.070745
355.0,340.0,370.0,1.1575,0.06969,-0.06969
385.0,370.0,400.0,1.1706,0.070813,-0.070813
415.0,400.0,430.0,1.1363,0.070373,-0.070373
450.0,430.0,470.0,1.537,0.080656,-0.080656
490.0,470.0,510.0,1.646,0.083594,-0.083594
530.0,510.0,550.0,1.6406,0.083352,-0.083352
570.0,550.0,590.0,1.9218,0.091351,-0.091351
615.0,590.0,640.0,2.5295,0.10424,-0.10424
665.0,640.0,690.0,2.7179,0.10845,-0.10845
715.0,690.0,740.0,2.9205,0.11266,-0.11266
765.0,740.0,790.0,2.8536,0.11051,-0.11051
815.0,790.0,840.0,3.0073,0.11409,-0.11409
870.0,840.0,900.0,3.9839,0.13112,-0.13112
930.0,900.0,960.0,4.206,0.13347,-0.13347
990.0,960.0,1020.0,3.6471,0.12512,-0.12512
1055.0,1020.0,1090.0,3.5795,0.12456,-0.12456
1125.0,1090.0,1160.0,2.6077,0.10753,-0.10753
1205.0,1160.0,1250.0,2.4221,0.10253,-0.10253
1325.0,1250.0,1400.0,4.4668,0.15257,-0.15257

#: $\lambda$,,,1
#: $m_{LQ}$ [GeV],,,2000
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield
265.0,250.0,280.0,0.0
295.0,280.0,310.0,0.0
325.0,310.0,340.0,0.0
355.0,340.0,370.0,0.0
385.0,370.0,400.0,0.0
415.0,400.0,430.0,0.0
450.0,430.0,470.0,0.0
490.0,470.0,510.0,0.0
530.0,510.0,550.0,0.0
570.0,550.0,590.0,0.0
615.0,590.0,640.0,0.0
665.0,640.0,690.0,0.0
715.0,690.0,740.0,0.0
765.0,740.0,790.0,0.0
815.0,790.0,840.0,0.0
870.0,840.0,900.0,0.0
930.0,900.0,960.0,0.0
990.0,960.0,1020.0,0.0
1055.0,1020.0,1090.0,0.0
1125.0,1090.0,1160.0,0.0
1205.0,1160.0,1250.0,0.0
1325.0,1250.0,1400.0,0.0

#: $\lambda$,,,2
#: $m_{LQ}$ [GeV],,,2000
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
265.0,250.0,280.0,12.004,0.62339,-0.62339
295.0,280.0,310.0,9.0686,0.52445,-0.52445
325.0,310.0,340.0,7.5597,0.48143,-0.48143
355.0,340.0,370.0,7.5066,0.49428,-0.49428
385.0,370.0,400.0,5.562,0.40892,-0.40892
415.0,400.0,430.0,4.906,0.3988,-0.3988
450.0,430.0,470.0,6.9388,0.45704,-0.45704
490.0,470.0,510.0,7.2877,0.47699,-0.47699
530.0,510.0,550.0,6.2637,0.43379,-0.43379
570.0,550.0,590.0,6.1034,0.43719,-0.43719
615.0,590.0,640.0,7.6291,0.48095,-0.48095
665.0,640.0,690.0,7.3018,0.47473,-0.47473
715.0,690.0,740.0,7.6922,0.47791,-0.47791
765.0,740.0,790.0,8.0212,0.48942,-0.48942
815.0,790.0,840.0,7.8525,0.49877,-0.49877
870.0,840.0,900.0,9.833,0.56444,-0.56444
930.0,900.0,960.0,7.9069,0.49883,-0.49883
990.0,960.0,1020.0,8.4269,0.4973,-0.4973
1055.0,1020.0,1090.0,8.1773,0.49225,-0.49225
1125.0,1090.0,1160.0,5.9984,0.44219,-0.44219
1205.0,1160.0,1250.0,6.1254,0.43515,-0.43515
1325.0,1250.0,1400.0,13.467,0.63437,-0.63437

#: $\lambda$,,,1
#: $m_{LQ}$ [GeV],,,2250
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield
265.0,250.0,280.0,0.0
295.0,280.0,310.0,0.0
325.0,310.0,340.0,0.0
355.0,340.0,370.0,0.0
385.0,370.0,400.0,0.0
415.0,400.0,430.0,0.0
450.0,430.0,470.0,0.0
490.0,470.0,510.0,0.0
530.0,510.0,550.0,0.0
570.0,550.0,590.0,0.0
615.0,590.0,640.0,0.0
665.0,640.0,690.0,0.0
715.0,690.0,740.0,0.0
765.0,740.0,790.0,0.0
815.0,790.0,840.0,0.0
870.0,840.0,900.0,0.0
930.0,900.0,960.0,0.0
990.0,960.0,1020.0,0.0
1055.0,1020.0,1090.0,0.0
1125.0,1090.0,1160.0,0.0
1205.0,1160.0,1250.0,0.0
1325.0,1250.0,1400.0,0.0

#: $\lambda$,,,1
#: $m_{LQ}$ [GeV],,,2250
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield
265.0,250.0,280.0,0.0
295.0,280.0,310.0,0.0
325.0,310.0,340.0,0.0
355.0,340.0,370.0,0.0
385.0,370.0,400.0,0.0
415.0,400.0,430.0,0.0
450.0,430.0,470.0,0.0
490.0,470.0,510.0,0.0
530.0,510.0,550.0,0.0
570.0,550.0,590.0,0.0
615.0,590.0,640.0,0.0
665.0,640.0,690.0,0.0
715.0,690.0,740.0,0.0
765.0,740.0,790.0,0.0
815.0,790.0,840.0,0.0
870.0,840.0,900.0,0.0
930.0,900.0,960.0,0.0
990.0,960.0,1020.0,0.0
1055.0,1020.0,1090.0,0.0
1125.0,1090.0,1160.0,0.0
1205.0,1160.0,1250.0,0.0
1325.0,1250.0,1400.0,0.0

#: $\lambda$,,,1
#: $m_{LQ}$ [GeV],,,2500
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield
265.0,250.0,280.0,0.0
295.0,280.0,310.0,0.0
325.0,310.0,340.0,0.0
355.0,340.0,370.0,0.0
385.0,370.0,400.0,0.0
415.0,400.0,430.0,0.0
450.0,430.0,470.0,0.0
490.0,470.0,510.0,0.0
530.0,510.0,550.0,0.0
570.0,550.0,590.0,0.0
615.0,590.0,640.0,0.0
665.0,640.0,690.0,0.0
715.0,690.0,740.0,0.0
765.0,740.0,790.0,0.0
815.0,790.0,840.0,0.0
870.0,840.0,900.0,0.0
930.0,900.0,960.0,0.0
990.0,960.0,1020.0,0.0
1055.0,1020.0,1090.0,0.0
1125.0,1090.0,1160.0,0.0
1205.0,1160.0,1250.0,0.0
1325.0,1250.0,1400.0,0.0

#: $\lambda$,,,0
#: $m_{LQ}$ [GeV],,,500
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
265.0,250.0,280.0,469.54,5.7152,-5.7152
295.0,280.0,310.0,474.74,5.7718,-5.7718
325.0,310.0,340.0,489.9,5.8712,-5.8712
355.0,340.0,370.0,480.04,5.8144,-5.8144
385.0,370.0,400.0,459.8,5.6954,-5.6954
415.0,400.0,430.0,419.03,5.4312,-5.4312
450.0,430.0,470.0,480.83,5.8267,-5.8267
490.0,470.0,510.0,359.51,5.0369,-5.0369
530.0,510.0,550.0,232.06,4.0578,-4.0578
570.0,550.0,590.0,137.58,3.1144,-3.1144
615.0,590.0,640.0,96.893,2.6106,-2.6106
665.0,640.0,690.0,52.083,1.9208,-1.9208
715.0,690.0,740.0,29.811,1.466,-1.466
765.0,740.0,790.0,18.434,1.1458,-1.1458
815.0,790.0,840.0,11.357,0.91422,-0.91422
870.0,840.0,900.0,6.9124,0.71315,-0.71315
930.0,900.0,960.0,5.778,0.63183,-0.63183
990.0,960.0,1020.0,2.4766,0.42918,-0.42918
1055.0,1020.0,1090.0,1.7096,0.35346,-0.35346
1125.0,1090.0,1160.0,1.103,0.28559,-0.28559
1205.0,1160.0,1250.0,0.92916,0.25823,-0.25823
1325.0,1250.0,1400.0,0.93598,0.28391,-0.28391

#: $\lambda$,,,0
#: $m_{LQ}$ [GeV],,,500
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
265.0,250.0,280.0,473.39,5.7554,-5.7554
295.0,280.0,310.0,491.73,5.8926,-5.8926
